
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek_Offset.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -300.0 -600.0 -900.0 -1200.0 -1500.0 -1800.0 -2100.0 -2400.0 -2700.0 -3000.0 -3300.0 -3600.0 -3900.0 -4200.0 -4500.0 -4800.0 -5100.0 -5400.0 -5700.0 -6000.0 -6300.0 -6600.0 -6900.0 -7200.0 -7500.0 -7800.0 -8100.0 -8400.0 -8700.0 -9000.0 -9300.0 -9600.0 -9900.0 -10200.0 -10500.0 -10800.0 -11100.0 -11400.0 -11700.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
14.87	0.0	18.520263296542737	-260.844090816982	-547.0578618683439	-844.6760381153837	-1091.3019566001772	-1367.9768455030544	-1674.4480475899231	-1904.9032512540598	-2188.209938840127	-2438.473760152679	-2655.1955719860516	-2825.8631986375253	-3049.2643949055073	-3295.556549981358	-3512.242829939987	-3814.14440097687	-4241.158575498156	-4599.431046869355	-4941.552480463573	-5292.786780391397	-5638.463765707185	-5988.73658492385	-6333.073403737801	-6699.518624952583	-6966.563579701573	-7308.6279353470645	-7616.170845731177	-7991.519580122629	-8277.560817653371	-8554.235744199883	-8940.296153510528	-9181.742645427386	-9532.318714431214	-9801.386323354292	-10117.283723831679	-10452.962604295237	-10923.912205101784	-11394.604095486413	-11700.0
14.88	0.0	25.05865488118866	-242.67203526476737	-522.6937482800641	-821.5955003086917	-1135.643983379063	-1363.2932548135477	-1618.4812339311154	-1898.8278993534525	-2178.1065401168876	-2475.4709477325796	-2720.550417362452	-2894.193225195525	-3137.6270604451174	-3266.8011690032035	-3562.915806335587	-3876.580038016389	-4221.503184925063	-4556.830814518069	-4886.5756661517535	-5269.258261705038	-5577.004758472764	-5958.748731821304	-6371.02973767559	-6632.950221922225	-7000.983301750254	-7290.732100943191	-7647.239176501039	-7944.268542869144	-8264.951917722217	-8569.200892274015	-8897.394528822353	-9216.309205381891	-9520.267550151473	-9826.919461431527	-10096.576255094971	-10420.370312221161	-10946.978261113669	-11392.453363442202	-11699.86185478662
14.89	0.0	-7.776404480905171	-278.51195964429235	-535.4671574639308	-857.1429524790924	-1098.5574007256178	-1391.83655918581	-1642.5500906975049	-1932.9446541472075	-2236.2587760593133	-2487.5115068088853	-2650.589285667703	-2887.23157274564	-3075.9647863509845	-3282.994888387088	-3563.4858974932818	-3914.123369839215	-4230.134621817354	-4601.061118437925	-4949.912099409496	-5327.075873358301	-5690.097962834417	-5992.802644848688	-6357.415099172791	-6715.727182977272	-7013.976007270674	-7347.146464708389	-7679.552824850819	-7921.882940335901	-8301.25758373917	-8578.105283721092	-8895.603741854347	-9216.645593870518	-9502.718793120943	-9865.621384636208	-10125.753020529826	-10426.50436132422	-10939.435699541149	-11392.806846188649	-11700.0
14.9	16.41791977847167	27.59575952496141	-237.67030018569767	-519.7149193325863	-845.6387200857159	-1107.2131587374952	-1399.653954492233	-1663.6385296353153	-1935.2726593510447	-2227.4866191513834	-2438.7667639108226	-2706.5663295521163	-2922.3315307446874	-3127.405320733661	-3330.398225278616	-3591.4332475402084	-3876.644065199747	-4234.4578691115985	-4505.292550607635	-4923.137408265658	-5311.549868829188	-5654.744181544557	-6015.412175244862	-6358.012090357926	-6676.985355666415	-7008.096528065175	-7309.0561884548215	-7619.056672769492	-7996.727157606264	-8275.66905520882	-8551.690750441323	-8903.22730896982	-9235.038209962724	-9517.274539616626	-9796.101156402196	-10098.539214253002	-10438.371225402354	-10951.344019059892	-11388.234414202961	-11700.0
14.91	20.595075139606596	47.973196498639254	-237.333214364419	-530.2448764816969	-832.8278220860244	-1123.1323351819806	-1370.9508497324762	-1618.1150509033087	-1944.902292573467	-2235.7378145795956	-2472.1623617625078	-2646.361970281885	-2914.3604046234077	-3112.9988597714005	-3321.7814168968316	-3567.4570031593976	-3880.358978267169	-4277.163731117214	-4549.819669741376	-4865.974046460313	-5299.204437667036	-5613.033796846741	-5959.493741485195	-6375.040963947942	-6643.608091435033	-6985.702137051564	-7322.04303955099	-7648.943659519923	-7977.690799730905	-8297.557464385405	-8592.995292530404	-8913.096450320973	-9220.447180942336	-9514.922889529947	-9837.328167883566	-10137.070362914632	-10428.712870566353	-10962.183526850566	-11386.246526274128	-11700.0
14.92	17.56503602273948	5.086219726548279	-284.4967076500974	-557.9911426039563	-799.124785201418	-1125.6248620818394	-1347.6956778378594	-1640.8634608805955	-1878.255820500035	-2184.173244591563	-2469.6565778447143	-2708.501719973712	-2946.208299465074	-3114.797881257472	-3356.9297618841647	-3621.8920401633004	-3887.205712619553	-4234.56627948429	-4593.840205615484	-4975.378886446426	-5353.751598989592	-5654.3315470746775	-5988.602435832821	-6346.945783842351	-6716.783948263681	-6977.013469718142	-7339.24075594163	-7626.057007859606	-7939.249530683617	-8249.74745308523	-8584.725528080275	-8913.41086180148	-9209.607411215466	-9540.658975410648	-9865.488812025553	-10126.246312937226	-10457.558770122423	-10940.214372698701	-11390.067845902131	-11699.990422289959
14.93	17.011951962735882	9.865811917515543	-256.8641534412848	-534.6249522011497	-852.3993215816754	-1162.129351548966	-1377.9554321885144	-1693.0691340187811	-1920.8870648430002	-2250.601428526714	-2492.1848193390824	-2731.8158621900207	-2955.7271209774235	-3137.763270612333	-3400.410620811428	-3637.460608317361	-3927.6181273786706	-4268.831875320528	-4574.524128605086	-4997.272586855264	-5324.936283801282	-5636.171705293743	-5995.956105008926	-6359.128153248379	-6693.357272756627	-6987.200696228761	-7340.772062415968	-7659.289056930694	-7935.736907529498	-8259.508157221262	-8600.957244886227	-8912.867885495905	-9259.803710820635	-9527.423467346101	-9862.406824673204	-10086.141229134591	-10474.592153582249	-10919.284503273253	-11388.997820561526	-11698.625597909899
14.94	18.4233290149311	20.730756274106454	-232.82500034449833	-557.6182309221119	-834.4592482087746	-1100.9649298270338	-1373.268990118507	-1658.5340485124177	-1962.7541079899825	-2240.1766973512867	-2490.86555482542	-2745.964230771322	-2956.5266537544353	-3135.6946981854617	-3428.9072066822946	-3687.782775453872	-3938.7894867973823	-4295.975428278586	-4613.5176526465	-4972.456218768611	-5313.370310728285	-5653.031152262615	-6012.478294260357	-6328.510149654809	-6668.078366418865	-6995.450581912825	-7319.913333646314	-7679.278331748565	-7953.29034980394	-8288.346981211138	-8585.750236043423	-8919.75561188057	-9229.968605999677	-9546.277981529796	-9832.670592702583	-10143.568922309896	-10481.59366254172	-10939.777169169338	-11388.626566551648	-11699.844882990341
14.95	19.085059205835083	34.116965576555856	-302.4906177921289	-564.8587926162327	-837.3931959963102	-1096.2349135776892	-1383.4861782301268	-1612.544379314881	-1972.960693481979	-2204.4412227955354	-2439.2346870293795	-2768.4761304682806	-2998.6802311532047	-3182.954482385593	-3417.7973495700794	-3730.5697580795522	-4000.6528705800583	-4286.848994136662	-4655.501653494945	-5007.9433484285555	-5327.5292843428	-5643.635233344727	-6082.618848476815	-6401.43384184695	-6672.9032371972335	-7010.888054825193	-7289.744868453138	-7626.11774897426	-7954.58107530006	-8301.171400557689	-8593.024026498959	-8896.37272819353	-9202.211246845454	-9525.86860979643	-9853.16991502375	-10119.155070531073	-10439.702814714	-10960.983961299104	-11390.026388772902	-11700.0
14.96	16.959796461452846	21.482039880147454	-245.71668341053953	-537.7812974902457	-828.2468658556093	-1102.9676674738128	-1360.8834908090014	-1647.5832816814495	-1923.9790108028349	-2214.6814242850537	-2531.226714578542	-2740.5354330292835	-2991.4069256728885	-3255.313252680114	-3407.6110169471085	-3682.345392979575	-4012.20376173562	-4292.563493467983	-4677.295459716545	-5034.598627169877	-5368.418385562425	-5698.627056526322	-6074.88633782191	-6404.626218933547	-6659.717873562224	-7005.995662192291	-7334.7461370836745	-7615.768109108076	-7918.230805901943	-8294.201217338306	-8570.530209513798	-8878.761519494741	-9248.649123339472	-9565.278322963162	-9812.425725696477	-10131.255741354043	-10426.787312173296	-10942.459131119847	-11395.514898686024	-11699.239436934122
14.97	17.133374382410672	23.245630794708916	-290.97706677343615	-545.5557305387193	-847.7139746837149	-1130.6550254766114	-1433.187052585113	-1646.74662361048	-1931.076837223614	-2217.1366983660764	-2539.867850061278	-2758.1760349516853	-3020.947408203847	-3181.368845845953	-3422.9797422940674	-3720.152349683467	-4038.812973615386	-4341.842644996891	-4704.723088744491	-5072.472161190501	-5340.131630260248	-5706.650224888345	-6062.489169200693	-6377.473135502106	-6698.452905687339	-7046.53960485235	-7364.113658789234	-7643.533744104908	-7970.572135557128	-8273.815491631702	-8608.58270360313	-8887.432807535732	-9170.766988997924	-9574.741219920723	-9847.428900184614	-10117.804457194054	-10449.982316758518	-10932.728497964212	-11392.962813686825	-11698.528324595778
14.98	15.100889035976994	-3.0092691366335202	-271.4212178888977	-517.5574082567363	-850.0633723844944	-1100.8426436195612	-1377.0688495449544	-1666.879800163771	-1966.3907337612509	-2232.3568101668434	-2519.6684471284902	-2764.8711413388683	-3029.3857472513696	-3207.731926156632	-3488.113652630477	-3633.9270597867126	-3986.670633135462	-4316.176828932391	-4724.618994491454	-4994.401247551622	-5383.969036467691	-5736.020195631452	-6009.13554331336	-6382.552890908035	-6728.153626420947	-6966.079669201805	-7280.644852353461	-7610.411703112236	-7968.414968872421	-8291.86751895481	-8570.234773203589	-8868.990943512586	-9236.084485086534	-9522.165584543376	-9834.924850117282	-10121.010805516105	-10416.894557076097	-10946.051299526689	-11390.265599702916	-11700.0
14.99	22.163415656956015	102.10448423284925	-268.0155697771963	-602.1292866345657	-840.4813751378795	-1127.9330381689567	-1372.213352006978	-1626.4760900890374	-1938.6292997749445	-2224.5608792752673	-2479.544518851748	-2775.6407155852844	-3014.615738065311	-3269.3842067325804	-3513.539222308862	-3737.4071447249135	-4014.480130450722	-4376.900088000173	-4707.863398021363	-5032.581044696294	-5398.6552918320285	-5720.903127863935	-6067.557465199899	-6379.0959961944955	-6739.372205425724	-7002.261642672089	-7387.579178599826	-7693.596228973867	-7964.8197923699845	-8278.019375864245	-8597.172666003495	-8876.650810730684	-9266.299075880252	-9549.040186460405	-9842.36891722339	-10109.761514692833	-10457.43256353142	-10936.2866300409	-11395.319633427258	-11699.965313115319
15.0	18.235292501497046	12.734813298057702	-277.67407113503197	-514.8842806954232	-864.9129888501777	-1122.0361521223372	-1406.4628179248864	-1653.7241477249604	-1931.8005993019626	-2211.1704777969867	-2468.212578294806	-2787.615828213159	-3033.399051273701	-3253.2375941032533	-3489.4127229252954	-3730.4913940430383	-4027.282588100087	-4353.185717830781	-4673.171732036738	-5018.107634381399	-5390.159678983571	-5766.692493425701	-6080.724948861758	-6388.869123173585	-6739.3885929565895	-7018.022158356769	-7353.591605968261	-7626.805106469086	-7982.1200315964525	-8291.571193260632	-8558.317226188912	-8916.00895912622	-9230.586303717982	-9554.49976123677	-9844.797090997852	-10156.749012368024	-10390.382667354068	-10948.261219876287	-11387.799883508458	-11698.480124331241
15.01	33.94028219897852	9.763338102266346	-263.14471948595445	-554.6062442673851	-815.5270472141384	-1104.3893681327213	-1373.5924509116178	-1674.2981704011784	-1991.8306081734381	-2221.2685911027243	-2524.899607432005	-2771.379944536543	-3034.95406611451	-3261.3558740572475	-3551.713189140744	-3798.0629984435473	-4093.1551441548345	-4382.70116461902	-4702.718600600386	-5016.962085968825	-5399.144451793147	-5769.071968403785	-6076.694798365199	-6415.580668511487	-6724.171196647823	-7018.4182074011815	-7336.7431660173415	-7635.9005228232945	-7966.34794585643	-8306.307548804201	-8599.823804482938	-8939.104240141467	-9211.646667164934	-9559.027762383457	-9834.013739937518	-10159.294026862408	-10402.206111084639	-10924.745258704668	-11391.53421995228	-11699.332033469058
15.02	41.18100125869562	9.432585078316663	-284.62887246706913	-519.5829138420637	-798.602571689581	-1088.5119876395006	-1425.3755092907404	-1682.109865221673	-1965.3372364547554	-2237.7816883260984	-2539.069521137831	-2764.4824710427783	-3034.0099162117594	-3281.049835582894	-3533.5137583011833	-3778.5835560112273	-4111.9091571863255	-4408.550437580275	-4738.743616326962	-5079.150929664239	-5432.5031977010385	-5758.163506063234	-6083.68468969327	-6408.029676470394	-6707.180984882834	-7026.409065754832	-7320.787314077286	-7639.08476743499	-8011.741365947298	-8265.215007182695	-8655.659552129231	-8913.524218887622	-9189.820270256781	-9584.45206968842	-9858.4886417466	-10122.716879224427	-10451.38300546246	-10958.49441548825	-11389.087360492575	-11698.670129790933
15.03	39.18071509437594	35.01247928980246	-278.5951408070283	-545.6410839002958	-802.2596778873678	-1147.2120315953705	-1358.36451772379	-1696.7711836875917	-1946.4755477705517	-2203.4847739028246	-2463.138299574318	-2770.21124409284	-3104.0778848125788	-3318.777835876105	-3542.742262594697	-3782.8756880802725	-4109.6522019166505	-4368.583261082101	-4739.098748754872	-5084.6298082517405	-5407.2520986368845	-5776.161982027657	-6071.4375628874095	-6400.264930105218	-6727.885395128394	-7079.097763873098	-7339.1573512456425	-7680.801478014136	-7972.107258305869	-8271.121612733867	-8643.851196180887	-8910.308156109882	-9167.97771298991	-9552.022699471896	-9854.522377989302	-10098.719569922556	-10439.340340738498	-10931.984301995486	-11387.635534942854	-11699.52296452558
15.04	28.29783907129555	45.75743436972181	-242.4018240404289	-565.5233380551828	-812.590066095141	-1113.7292558217616	-1421.5566917458002	-1723.2426009765306	-1980.3094331820596	-2227.8839402478006	-2517.529412374911	-2828.552052366961	-3044.7460052096517	-3311.300059246763	-3523.521125038143	-3792.6992255828486	-4041.2803064778855	-4435.735315298227	-4699.34301078333	-5132.956046036591	-5431.556807409335	-5778.609991860171	-6138.235825770465	-6352.6390081061645	-6711.699634006586	-7047.753764069437	-7363.710662942701	-7689.312622933886	-7969.061251041846	-8257.215856163044	-8594.19880518045	-8936.520387995944	-9228.621316940867	-9591.680174813884	-9864.422231280627	-10151.060540202885	-10430.395629999979	-10906.901091164511	-11388.193076570935	-11700.0
15.05	27.52997005304534	18.92310078599803	-286.02947293374814	-574.5169787839255	-847.5622640613682	-1117.2881956797783	-1377.7672548658904	-1694.7530955911748	-1981.4188815743	-2261.524494626307	-2555.5634854268674	-2821.0779763711007	-3097.976130517633	-3346.9784415978415	-3587.88208722578	-3854.6110181925656	-4101.077101945455	-4477.711044224187	-4780.1293634829435	-5156.528302789479	-5385.001619088504	-5801.890929244413	-6064.075191486527	-6396.969063192862	-6699.781924068163	-7006.748812141661	-7319.297714884734	-7676.697058255294	-7997.8823184955545	-8303.110053186174	-8564.161327777005	-8915.91553612036	-9251.039895317223	-9582.327686713692	-9919.471367871432	-10150.207490871264	-10418.847121631177	-10920.884893836614	-11390.382088661148	-11696.833552207352
15.06	29.454040332944395	12.770079677825493	-242.59200289192717	-536.6376682699581	-826.7463431699668	-1079.725214463019	-1393.6073332174906	-1669.2163211836123	-1987.156864170494	-2237.9106928040474	-2547.3402116424213	-2800.0236567469265	-3104.289022597079	-3359.35069612101	-3538.345313160002	-3877.206769300623	-4139.75027179195	-4469.09989487418	-4743.463522585413	-5142.482941188935	-5453.766185235126	-5777.705537886302	-6111.462979768154	-6422.972461184562	-6768.180326771506	-7048.45928950143	-7373.229922339502	-7629.658508064717	-7934.224428770591	-8287.797620839023	-8604.950236363276	-8926.83866506295	-9260.492682979933	-9558.461221124426	-9833.763543806683	-10121.402264927026	-10427.690647396636	-10922.06305448435	-11376.736176526243	-11699.60254148821
15.07	39.7299627336014	9.048929802786631	-253.153447612511	-522.6625841765381	-842.4962719803036	-1109.3291165347764	-1371.8812925536904	-1667.669165250251	-1947.164367505201	-2241.2181222733993	-2486.7085082635895	-2811.1282371924863	-3101.500611075119	-3306.320663917585	-3648.57376343522	-3866.88547865163	-4181.138090606922	-4447.9554756090565	-4798.917691982797	-5133.495727215915	-5455.550096306016	-5780.398582531616	-6101.149434795263	-6376.651945087717	-6767.008334583756	-7018.897636351913	-7355.591890690811	-7659.905083858089	-7943.15062882518	-8275.859400121946	-8627.014005023397	-8947.91853015308	-9269.647262070384	-9542.385970953119	-9887.665519805014	-10130.92496684444	-10483.062780893326	-10934.34004785264	-11383.30151231755	-11699.160177722046
15.08	29.56206926954858	-12.12720459114098	-246.52514785415758	-556.0901971913675	-845.4966455111736	-1141.7879935812866	-1360.6016252106722	-1652.9989003222859	-1984.3626352670378	-2237.4330939850397	-2496.387496328406	-2804.4896809715824	-3058.44127905982	-3394.2200404942305	-3637.347665844792	-3860.9145669275954	-4149.463643467482	-4480.662853979123	-4770.3373940279525	-5119.116147048474	-5465.8533547956895	-5815.893389004085	-6088.168506720304	-6384.956463142318	-6739.340985949746	-7068.725893124484	-7351.959047329289	-7661.165540022432	-8035.2386030721555	-8316.344316795457	-8566.702452864003	-8930.823353885811	-9262.380639997815	-9555.259710699554	-9856.115265371995	-10162.276896233594	-10436.116627380085	-10918.319964198818	-11391.258640287513	-11697.815733542619
15.09	27.801775770551043	16.915885570701846	-270.5201655225366	-576.6875934681025	-832.1824248993623	-1138.739199378719	-1402.0414173259467	-1668.2444292024206	-1962.0057474844662	-2275.6880382170284	-2522.435008647492	-2868.131598491018	-3109.9410874371997	-3351.0999524287618	-3666.6907786732663	-3893.7715218028375	-4180.793896676475	-4473.730766645654	-4843.872088253608	-5170.446262719458	-5476.025146327749	-5801.870642647225	-6062.957915693494	-6381.410222218988	-6751.687394588523	-7094.920199576533	-7367.370248979402	-7680.43745232376	-7975.95174654328	-8344.473343975744	-8642.425507033713	-8948.372556877017	-9235.43094927174	-9558.169931132872	-9861.311570775857	-10137.367550812378	-10460.974249347031	-10891.505093358452	-11381.526850540653	-11699.27561640633
15.1	32.59173282165767	14.96374319027359	-248.2209523431693	-563.2259700662801	-806.3245817158215	-1140.6151905015477	-1411.7855542390084	-1715.804256583368	-1970.9844592508982	-2292.267698875912	-2582.195952772785	-2882.4452639913343	-3069.832397169293	-3402.487413465562	-3683.9767010492988	-3926.749973836806	-4213.363582784583	-4510.465932658999	-4866.777642079213	-5194.404245167093	-5474.009480538269	-5812.42010761592	-6127.46924001455	-6414.795175840594	-6768.088827616433	-7063.863934145445	-7357.635368902141	-7673.281802656028	-7970.5965007028735	-8323.361086649233	-8643.241726749646	-8983.83671088041	-9283.636396610975	-9574.097137264067	-9895.689142359848	-10150.071063009687	-10445.654792820244	-10927.026342269393	-11390.58897524648	-11700.0
15.11	37.94644318465927	-12.31979009134028	-230.87693022215888	-582.9603532686901	-817.930481902766	-1109.409472488796	-1432.0318642475397	-1720.4773914504365	-2005.2312163799427	-2250.7188204950335	-2580.0174697916914	-2847.9366474249982	-3106.5862475914387	-3386.144151463063	-3675.0052308106706	-3933.4210560316315	-4213.2479148590755	-4537.095137641505	-4830.312628198734	-5210.474659965358	-5542.3259604753675	-5839.197624835582	-6127.475717308641	-6454.384834750463	-6759.595788128511	-7091.094304088559	-7396.141258683989	-7685.436549332493	-7995.07764594352	-8309.958715921928	-8596.272132817114	-8898.031878824497	-9223.369339117004	-9565.001444567391	-9848.32569352469	-10176.89928351837	-10445.712597845468	-10882.363101404548	-11390.965886569114	-11699.474212220543
15.12	34.61386722389068	10.240873658446333	-291.40886324644595	-605.3900137685321	-861.207998707856	-1142.1928541715147	-1424.3787164202158	-1696.5112701969606	-2023.5316313352407	-2288.457141157078	-2571.076773155584	-2850.642202262226	-3121.555343197436	-3376.160603090025	-3647.2090901853066	-3973.2543011378116	-4215.866568236252	-4551.58293344957	-4875.864319598159	-5202.473406865167	-5531.3511153697755	-5863.055617262703	-6126.985358575571	-6405.906658255086	-6766.302188021693	-7090.807534896148	-7402.978775633537	-7685.975739754499	-8004.223780651565	-8352.647736417663	-8605.378194665733	-8928.867625993547	-9264.25210995521	-9606.144972675644	-9847.080322340065	-10166.100224430162	-10446.762263692948	-10938.649221921682	-11388.790145575093	-11698.74368366201
15.13	52.65113819012622	19.708572125980254	-301.59992990710026	-608.2857782879407	-839.7474071033503	-1125.7416582543694	-1428.9089612661	-1729.7552443975762	-2000.4653614983154	-2246.5305166760572	-2539.827192177418	-2862.2186744253468	-3139.1365098954116	-3427.7645112163827	-3680.8356883927872	-3993.060242269624	-4276.958546387243	-4552.9141634012485	-4870.791114074613	-5216.422630904293	-5594.929318961391	-5805.374451932992	-6092.8302926054375	-6457.052437212653	-6787.445517416627	-7050.513691404244	-7375.342087755148	-7687.740409870374	-7997.698979274598	-8347.858371343127	-8624.826857682003	-8914.852342250242	-9287.763896253384	-9566.556372509247	-9883.484183394861	-10190.033567017173	-10432.56741863061	-10910.55017972964	-11386.139929547528	-11700.0
15.14	50.83855165541827	-18.81716206786183	-281.8592206566394	-562.0536266845108	-814.7826975184785	-1100.9085245781703	-1429.1616524719368	-1726.6069781009546	-1996.3746811744643	-2275.740721439349	-2569.1216767991614	-2868.5578860608457	-3127.4685227422483	-3419.8013111976297	-3701.9441566438477	-4023.879713493889	-4289.941829345533	-4600.739844660798	-4903.59496095526	-5240.336473766013	-5564.304031171767	-5870.076562007459	-6158.871395698978	-6451.3782064597535	-6800.095968903654	-7076.944245450857	-7383.308369908991	-7728.03188298952	-8049.9530025534195	-8339.945865658763	-8652.823777191568	-8996.617920630706	-9268.58204912185	-9603.177895600038	-9889.638759319	-10206.968558774957	-10453.04876919172	-10892.976722529584	-11379.569920162488	-11697.816265932004
15.15	51.82736206860977	-23.061244860507486	-295.3421168527539	-613.4504262611823	-851.9993538865331	-1122.2404071567864	-1461.2659893390892	-1727.5684278007768	-2043.97119113731	-2331.4380741592754	-2572.77926113862	-2872.6742577448117	-3144.757683952105	-3405.6992047040853	-3683.7361301552864	-3983.618689097326	-4309.0273605869315	-4612.000154145839	-4935.919953646738	-5198.180044599413	-5551.541624110314	-5891.597906692886	-6178.082273868187	-6470.566113741954	-6769.629884699551	-7094.542669761407	-7452.185810649555	-7702.199214656721	-8051.015625229817	-8335.638596649433	-8650.646453254949	-8927.586348464638	-9278.335544651485	-9556.243208948603	-9884.273281605081	-10195.189221849012	-10502.141770868253	-10921.783756179619	-11376.332595242664	-11698.411181043302
15.16	49.06977625427487	-11.41386438808172	-307.48695957674005	-584.967620971207	-856.4257857222402	-1127.8092026676907	-1438.22882498384	-1716.8633224165112	-2025.8349166287235	-2279.4257611924263	-2579.9378014263275	-2870.3046335636086	-3157.133479580922	-3438.2102910657827	-3718.0993448680906	-4014.221597610645	-4290.546454049998	-4608.113312922957	-4948.492497191167	-5229.230812951297	-5528.064775915168	-5848.188727598107	-6157.336349254331	-6444.607350749034	-6773.186298669299	-7119.447798371428	-7436.503069006059	-7688.460273697135	-8000.678797021468	-8330.136741854649	-8666.554248573562	-8964.505768052884	-9270.063602523001	-9571.916169901266	-9857.221197654782	-10192.174347770184	-10464.940484907393	-10912.88570502358	-11369.673368029577	-11697.61941239786
15.17	46.62886761203487	-9.878992323996044	-305.4240601515049	-573.807159660754	-892.080230355097	-1142.0124211384455	-1474.6781686735173	-1732.4586650746548	-2009.418205430547	-2289.8323028637747	-2569.8177611665046	-2827.8648596496696	-3155.5480821230594	-3487.641143540028	-3756.2771628130795	-4025.464035251486	-4363.636930854448	-4648.956064424166	-4973.4546449637755	-5242.6364443237135	-5563.622271417363	-5865.48058152203	-6209.581795150741	-6443.238724754885	-6815.926953412054	-7148.40691182701	-7401.5083681770075	-7714.27383913102	-8025.967657932455	-8318.50496968204	-8627.455381721005	-8965.38746952696	-9262.840152167455	-9622.431182028226	-9915.686114426377	-10196.5303168818	-10439.793580385449	-10918.753219776834	-11377.011031018274	-11698.817617957608
15.18	52.21100668474092	-21.55517735847178	-310.30232530383864	-590.7844436098031	-903.3100748984631	-1184.3153153691492	-1430.30465305226	-1715.626048953849	-2046.6654519396038	-2297.2248714459342	-2609.611393646642	-2882.863195694199	-3217.562670793432	-3491.204787793405	-3732.4374334338795	-3967.5807008511083	-4344.609701050898	-4656.607997784574	-4962.593978126217	-5262.763349855279	-5603.1099998057925	-5906.7780310179005	-6159.074526329637	-6473.91196756502	-6787.733483763148	-7106.296266993008	-7447.680271938246	-7708.9969358516155	-8007.587788576381	-8315.628181350156	-8670.636892677328	-8986.691070095962	-9339.629501955349	-9587.541848627132	-9900.983948941901	-10186.984265391673	-10485.993981553162	-10939.026421415865	-11383.40672524106	-11698.091563395363
15.19	44.039774044284464	-10.837719559391019	-299.0210071629842	-590.7358437201473	-823.7161425370358	-1197.0076291853359	-1473.274564080827	-1683.3540147854008	-2014.3393539876586	-2281.8656434274617	-2592.9821755770954	-2898.774279149633	-3162.9007123107726	-3466.611301200244	-3829.2506322172267	-4068.186792892529	-4390.801319679018	-4649.625028615256	-4955.695443331542	-5285.1998784354	-5573.99468586057	-5888.454899618498	-6147.582485052285	-6503.044785042604	-6796.757486107201	-7157.345902395731	-7447.101051668635	-7708.891563078518	-8070.0932058362505	-8341.775282293538	-8681.46414399229	-8983.620796231944	-9320.178548728867	-9605.494463327208	-9906.692295414396	-10201.475932939138	-10496.799073004902	-10909.970465913271	-11386.773984828678	-11698.241978206588
