
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483	Si0006_EDCs_0.453	Si0006_EDCs_0.422	Si0006_EDCs_0.392	Si0006_EDCs_0.362	Si0006_EDCs_0.332	Si0006_EDCs_0.302	Si0006_EDCs_0.272	Si0006_EDCs_0.242	Si0006_EDCs_0.212	Si0006_EDCs_0.182	Si0006_EDCs_0.151	Si0006_EDCs_0.121	Si0006_EDCs_0.091	Si0006_EDCs_0.061	Si0006_EDCs_0.031	Si0006_EDCs_0.001	Si0006_EDCs_-0.029	Si0006_EDCs_-0.059	Si0006_EDCs_-0.089	Si0006_EDCs_-0.12	Si0006_EDCs_-0.15	Si0006_EDCs_-0.18	Si0006_EDCs_-0.21	Si0006_EDCs_-0.24	Si0006_EDCs_-0.27	Si0006_EDCs_-0.3	Si0006_EDCs_-0.33	Si0006_EDCs_-0.361	Si0006_EDCs_-0.391	Si0006_EDCs_-0.421	Si0006_EDCs_-0.451	Si0006_EDCs_-0.481	Si0006_EDCs_-0.511	Si0006_EDCs_-0.541	Si0006_EDCs_-0.571	Si0006_EDCs_-0.601	Si0006_EDCs_-0.632	Si0006_EDCs_-0.662	Si0006_EDCs_-0.692
14.91	20.595075139606596	347.97319649863925	362.666785635581	369.7551235183031	367.1721779139756	376.8676648180193	429.04915026752377	481.88494909669134	455.09770742653285	464.2621854204043	527.8376382374923	653.6380297181151	685.6395953765921	787.0011402285995	878.2185831031682	932.5429968406023	919.6410217328313	822.8362688827858	850.1803302586239	834.0259535396868	700.7955623329646	686.9662031532588	640.5062585148055	524.9590360520582	556.3919085649668	514.2978629484359	477.95696044900984	451.0563404800766	422.309200269095	402.4425356145949	407.0047074695962	386.90354967902755	379.5528190576635	385.07711047005233	362.6718321164331	362.92963708536723	371.2871294336476	137.81647314943478	13.753473725872837	0.0
14.92	17.56503602273948	305.0862197265483	315.5032923499026	342.0088573960437	400.875214798582	374.3751379181606	452.3043221621405	459.1365391194045	521.7441794999651	515.8267554084368	530.3434221552857	591.4982800262877	653.791700534926	785.202118742528	843.0702381158355	878.1079598366997	912.7942873804468	865.4337205157098	806.1597943845163	724.6211135535737	646.2484010104084	645.6684529253222	611.3975641671783	553.054216157649	483.2160517363187	522.9865302818581	460.75924405837077	473.9429921403948	460.7504693163826	450.2525469147694	415.2744719197251	386.5891381985202	390.3925887845352	359.34102458935206	334.511187974448	373.7536870627734	342.44122987757635	159.78562730129906	9.932154097869397	0.009577710041407594
14.93	17.011951962735882	309.86581191751554	343.1358465587152	365.3750477988503	347.60067841832466	337.87064845103384	422.04456781148576	406.93086598121886	479.11293515699975	449.39857147328604	507.81518066091763	568.1841378099795	644.2728790225767	762.236729387667	799.5893791885717	862.5393916826387	872.3818726213296	831.1681246794728	825.4758713949137	702.7274131447354	675.0637161987177	663.8282947062573	604.0438949910737	540.8718467516205	506.6427272433733	512.7993037712382	459.22793758403157	440.71094306930615	464.26309247050176	440.49184277873707	399.04275511377364	387.1321145040949	340.1962891793648	372.5765326538987	337.59317532679637	413.85877086540944	325.407846417751	180.71549672674732	11.002179438473801	1.3744020901007146
14.94	18.4233290149311	320.73075627410645	367.17499965550167	342.3817690778881	365.54075179122543	399.0350701729662	426.73100988149304	441.4659514875823	437.2458920100174	459.8233026487132	509.13444517457987	554.035769228678	643.4733462455647	764.3053018145386	771.0927933177052	812.2172245461281	861.2105132026176	804.0245717214137	786.4823473534993	727.5437812313897	686.6296892717148	646.9688477373845	587.5217057396434	571.4898503451917	531.9216335811352	504.5494180871747	480.08666635368644	420.72166825143563	446.7096501960599	411.6530187888628	414.24976395657757	380.2443881194301	370.0313940003239	353.72201847020295	367.32940729741745	356.43107769010385	318.4063374582808	160.22283083066154	11.373433448351765	0.155117009659646
14.95	19.085059205835083	334.11696557655586	297.5093822078711	335.14120738376727	362.6068040036899	403.76508642231073	416.5138217698733	487.455620685119	427.0393065180211	495.5587772044647	560.7653129706205	531.5238695317192	601.3197688467951	717.0455176144069	782.2026504299207	769.4302419204478	799.3471294199416	813.1510058633379	744.4983465050555	692.0566515714446	672.4707156572002	656.3647666552729	517.3811515231848	498.56615815305025	527.0967628027663	489.111945174807	510.25513154686206	473.88225102573927	445.4189246999402	398.8285994423107	406.9759735010408	403.6272718064698	397.7887531545458	374.1313902035704	346.8300849762509	380.84492946892647	360.29718528599983	139.01603870089673	9.973611227097617	0.0
14.96	16.959796461452846	321.48203988014745	354.28331658946047	362.2187025097543	371.75313414439074	397.03233252618725	439.1165091909986	452.41671831855035	476.02098919716514	485.3185757149463	468.77328542145773	559.4645669707165	608.5930743271116	644.6867473198857	792.3889830528916	817.6546070204247	787.7962382643801	807.4365065320169	722.704540283455	665.4013728301229	631.581614437575	601.3729434736783	525.1136621780893	495.37378106645355	540.2821264377767	494.00433780770857	465.2538629163259	484.2318908919238	481.7691940980569	405.79878266169356	429.46979048620176	421.23848050525845	351.35087666052755	334.72167703683687	387.5742743035221	368.74425864595736	373.21268782670506	157.54086888015217	4.485101313975403	0.7605630658784701
14.97	17.133374382410672	323.2456307947089	309.02293322656385	354.44426946128067	352.28602531628513	369.3449745233886	366.812947414887	453.25337638952004	468.92316277638605	482.8633016339234	460.1321499387217	541.8239650483148	579.0525917961529	718.6311541540474	777.0202577059327	779.8476503165328	761.1870263846141	758.1573550031089	695.2769112555086	627.5278388094995	659.8683697397516	593.349775111655	537.5108307993066	522.5268644978944	501.5470943126611	453.4603951476498	435.8863412107654	456.4662558950922	429.4278644428723	426.18450836829794	391.41729639687037	412.56719246426803	429.2330110020749	325.25878007927713	352.5710998153863	382.19554280594565	350.01768324148213	167.27150203578844	7.037186313174354	1.4716754042228601
14.98	15.100889035976994	296.9907308633665	328.5787821111023	382.44259174326373	349.93662761550553	399.1573563804388	422.93115045504544	433.12019983622884	433.6092662387492	467.6431898331565	480.3315528715096	535.1288586611317	570.6142527486304	692.2680738433679	711.8863473695227	866.0729402132873	813.3293668645379	783.823171067609	675.3810055085456	705.5987524483779	616.030963532309	563.9798043685473	590.86445668664	517.4471090919649	471.84637357905285	533.920330798195	519.3551476465391	489.5882968877639	431.5850311275789	408.1324810451899	429.765226796412	431.00905648741275	363.91551491346553	377.8344154566233	365.0751498827171	378.9891944838945	383.1054429239035	153.94870047331113	9.734400297084143	2.7431039707289984e-19
14.99	22.163415656956015	402.10448423284925	331.9844302228037	297.87071336543426	359.51862486212053	372.06696183104333	427.78664799302186	473.52390991096263	461.3707002250555	475.4391207247328	520.4554811482519	524.3592844147157	585.3842619346891	630.6157932674193	686.4607776911382	762.5928552750863	785.5198695492782	723.0999119998265	692.1366019786373	667.4189553037057	601.3447081679712	579.0968721360654	532.4425348001012	520.9040038055047	460.6277945742756	497.73835732791133	412.42082140017334	406.40377102613303	435.1802076300155	421.98062413575485	402.82733399650624	423.3491892693167	333.7009241197483	350.95981353959496	357.63108277660984	390.23848530716737	342.56743646858047	163.71336995909863	4.680366572742878	0.03468688468129652
15.0	18.235292501497046	312.7348132980577	322.32592886496803	385.1157193045768	335.0870111498223	377.96384787766283	393.53718207511355	446.27585227503965	468.19940069803744	488.82952220301337	531.7874217051942	512.384171786841	566.600948726299	646.7624058967469	710.5872770747047	769.5086059569617	772.7174118999129	746.814282169219	726.8282679632622	681.8923656186005	609.8403210164288	533.307506574299	519.2750511382421	511.1308768264153	460.61140704341034	481.97784164323076	446.4083940317389	473.1948935309134	417.8799684035474	408.4288067393678	441.68277381108754	383.9910408737798	369.41369628201824	345.5002387632294	355.2029090021473	343.25098763197633	409.61733264593266	151.73878012371222	12.200116491542213	1.5198756687580193
15.01	33.94028219897852	309.76333810226635	336.85528051404555	345.3937557326148	384.4729527858616	395.61063186727876	426.4075490883822	425.70182959882163	408.16939182656193	478.7314088972756	475.10039256799536	528.6200554634569	565.0459338854898	638.6441259427525	648.2868108592562	701.9370015564527	706.8448558451654	717.2988353809799	697.2813993996145	683.037914031175	600.8555482068535	530.9280315962146	523.3052016348008	484.41933148851336	475.8288033521763	481.58179259881854	463.2568339826585	464.0994771767051	433.65205414357035	393.6924511957989	400.1761955170632	360.89575985853384	388.35333283506617	340.97223761654215	365.98626006248185	340.7059731375918	397.7938889153614	175.2547412953315	8.465780047719285	0.6679665309411955
15.02	41.18100125869562	309.43258507831666	315.37112753293087	380.4170861579363	401.397428310419	411.48801236049934	374.6244907092597	417.89013477832685	434.66276354524456	462.21831167390155	460.9304788621688	535.5175289572217	565.9900837882404	618.9501644171057	666.4862416988167	721.4164439887729	688.0908428136745	691.4495624197249	661.2563836730382	620.8490703357612	567.4968022989611	541.8364939367657	516.3153103067298	491.9703235296056	492.8190151171659	473.5909342451676	479.2126859227142	460.9152325650099	388.2586340527021	434.7849928173059	344.34044787076937	386.4757811123787	410.17972974321935	315.5479303115814	341.5113582533986	377.2831207755733	348.6169945375398	141.50558451174905	10.91263950742613	1.3298702090664947
15.03	39.18071509437594	335.01247928980246	321.4048591929717	354.3589160997041	397.7403221126322	352.7879684046295	441.63548227621015	403.2288163124083	453.5244522294483	496.5152260971755	536.8617004256822	529.78875590716	495.9221151874211	581.2221641238946	657.2577374053031	717.1243119197275	690.3477980833496	731.4167389178995	660.9012512451279	615.370191748259	592.7479013631155	523.8380179723428	528.56243711259	499.7350698947825	472.114604871606	420.9022361269017	460.84264875435747	419.19852198586403	427.89274169413056	428.87838726613364	356.1488038191135	389.69184389011764	432.02228701008954	347.97730052810346	345.477622010697	401.2804300774444	360.6596592615019	168.01569800451375	12.364465057146544	0.4770354744195531
15.04	28.29783907129555	345.7574343697218	357.5981759595711	334.47666194481724	387.40993390485903	386.2707441782384	378.44330825419985	376.7573990234693	419.6905668179404	472.1160597521996	482.47058762508897	471.4479476330388	555.2539947903483	588.6999407532372	676.4788749618571	707.3007744171514	758.7196935221148	664.2646847017734	700.6569892166698	567.0439539634092	568.4431925906642	521.3900081398286	461.7641742295346	547.3609918938354	488.30036599341355	452.24623593056293	436.28933705729906	410.68737706611375	430.9387489581542	442.7841438369568	405.80119481955046	363.47961200405643	371.37868305913315	308.3198251861163	335.57776871937244	348.9394597971141	369.60437000002077	193.09890883548906	11.80692342906439	-2.289334505323557e-18
15.05	27.52997005304534	318.92310078599803	313.97052706625186	325.48302121607446	352.4377359386318	382.71180432022163	422.2327451341096	405.24690440882534	418.5811184257	438.4755053736932	444.43651457313246	478.92202362889935	502.02386948236693	553.0215584021585	612.11791277422	645.3889818074343	698.9228980545446	622.2889557758125	619.8706365170569	543.4716972105207	614.9983809114952	498.10907075558674	535.9248085134732	503.03093680713715	500.2180759318375	493.25118785833905	480.7022851152661	423.30294174470583	402.1176815044451	396.88994681382576	435.8386722229947	384.08446387964136	348.96010468277683	317.67231328630754	280.528632128567	349.7925091287353	381.1528783688226	179.11510616338552	9.617911338851298	3.166447792647614
15.06	29.454040332944395	312.7700796778255	357.40799710807283	363.36233173004183	373.2536568300331	420.274785536981	406.3926667825094	430.78367881638763	412.84313582950597	462.0893071959524	452.65978835757846	499.9763432530736	495.710977402921	540.6493038789898	661.6546868399979	622.7932306993773	660.2497282080507	630.9001051258205	656.5364774145869	557.5170588110651	546.2338147648745	522.2944621136971	488.53702023184604	477.0275388154374	431.81967322849374	451.5407104985697	426.77007766049763	470.3414919352824	465.77557122940954	412.20237916097665	395.04976363672426	373.1613349370491	339.50731702006595	341.5387788755739	366.23645619331717	378.5977350729736	372.30935260336395	177.9369455156507	23.26382347375774	0.39745851179018155
15.07	39.7299627336014	309.04892980278663	346.846552387489	377.33741582346187	357.5037280196964	390.67088346522365	428.1187074463096	432.33083474974916	452.83563249479903	458.78187772660056	513.2914917364105	488.87176280751373	498.499388924881	593.6793360824149	551.4262365647801	633.1145213483702	618.8619093930787	652.0445243909439	601.0823080172033	566.5042727840843	544.4499036939843	519.6014174683842	498.85056520473717	523.3480549122831	432.9916654162441	481.1023636480872	444.4081093091887	440.0949161419113	456.84937117482	424.14059987805354	372.985994976603	352.0814698469196	330.352737929616	357.6140290468818	312.3344801949856	369.0750331555599	316.9372191066734	165.65995214736014	16.698487682450565	0.8398222779541371
15.08	29.56206926954858	287.872795408859	353.4748521458424	343.9098028086326	354.5033544888264	358.2120064187135	439.39837478932776	447.001099677714	415.6373647329621	462.56690601496035	503.61250367159414	495.5103190284175	541.5587209401803	505.7799595057696	562.6523341552079	639.0854330724045	650.5363565325181	619.3371460208776	629.6626059720477	580.8838529515263	534.1466452043105	484.1066109959143	511.83149327969556	515.0435368576817	460.6590140502537	431.2741068755159	448.040952670711	438.83445997756826	364.7613969278449	383.6556832045425	433.2975471359971	369.1766461141879	337.61936000218464	344.7402893004459	343.88473462800584	337.723103766406	363.8833726199154	181.68003580118204	8.741359712486956	2.1842664573816246
15.09	27.801775770551043	316.91588557070185	329.4798344774634	323.31240653189747	367.8175751006376	361.260800621281	397.95858267405333	431.75557079757937	437.9942525155339	424.3119617829715	477.56499135250806	431.86840150898195	490.0589125628004	548.9000475712384	533.3092213267337	606.2284781971624	619.2061033235251	626.2692333543465	556.1279117463918	529.5537372805421	523.9748536722506	498.12935735277495	537.0420843065053	518.5897777810126	448.3126054114773	405.0798004234662	432.62975102059744	419.5625476762402	424.0482534567199	355.52665602425606	357.5744929662872	351.62744312298236	364.5690507282593	341.83006886712855	338.68842922414217	362.6324491876222	339.0257506529685	208.49490664154914	18.4731494593465	0.7243835936697958
15.1	32.59173282165767	314.9637431902736	351.7790476568307	336.7740299337199	393.67541828417853	359.38480949845234	388.2144457609915	384.19574341663207	429.0155407491017	407.73230112408805	417.804047227215	417.5547360086656	530.1676028307069	497.51258653443796	516.0232989507012	573.2500261631941	586.6364172154173	589.5340673410009	533.2223579207864	505.5957548329073	525.9905194617315	487.5798923840804	472.53075998544944	485.2048241594055	431.9111723835664	436.1360658545558	442.36463109785933	426.718197343972	429.4034992971265	376.6389133507665	356.75827325035357	316.1632891195894	316.3636033890255	325.9028627359324	304.31085764015234	349.9289369903119	354.3452071797567	172.97365773060642	9.411024753521733	0.0
15.11	37.94644318465927	287.6802099086597	369.1230697778411	317.03964673130986	382.069518097234	390.590527511204	367.9681357524602	379.5226085495636	394.7687836200573	449.28117950496636	419.9825302083088	452.06335257500166	493.4137524085612	513.8558485369371	524.9947691893294	566.5789439683688	586.7520851409241	562.9048623584948	569.6873718012658	489.5253400346418	457.67403952463286	460.8023751644173	472.52428269135936	445.6151652495376	440.40421187148837	408.90569591144157	403.85874131601076	414.563450667507	404.9223540564801	390.0412840780725	403.7278671828869	401.968121175503	376.6306608829968	334.99855543260895	351.67430647531006	323.1007164816287	354.287402154532	217.6368985954522	9.03411343088565	0.5257877794565974
15.12	34.61386722389068	310.24087365844633	308.59113675355405	294.6099862314679	338.7920012921441	357.8071458284852	375.62128357978406	403.48872980303935	376.4683686647592	411.5428588429224	428.9232268444162	449.35779773777404	478.4446568025644	523.8393969099751	552.7909098146935	526.7456988621883	584.1334317637481	548.4170665504301	524.1356804018407	497.52659313483275	468.6488846302244	436.9443827372969	473.0146414244294	494.0933417449141	433.69781197830747	409.1924651038514	397.02122436646323	414.02426024550056	395.77621934843495	347.3522635823368	394.6218053342682	371.1323740064534	335.74789004479	293.8550273243556	352.9196776599338	333.8997755698387	353.23773630705136	161.35077807831777	11.20985442490789	1.256316337988945
15.13	52.65113819012622	319.70857212598025	298.40007009289974	291.71422171205927	360.2525928966497	374.2583417456305	371.09103873389995	370.24475560242377	399.5346385016845	453.469483323943	460.17280782258194	437.7813255746532	460.86349010458827	472.23548878361737	519.1643116072127	506.9397577303761	523.0414536127571	547.0858365987518	529.2088859253868	483.5773690957063	405.07068103860894	494.6255480670083	507.16970739456275	442.9475627873471	412.55448258337293	449.486308595756	424.657912244852	412.2595901296263	402.3010207254019	352.14162865687223	375.17314231799736	385.1476577497572	312.2361037466161	333.44362749075293	316.515816605139	309.9664329828257	367.4325813693913	189.44982027036045	13.860070452472616	0.0
15.14	50.83855165541827	281.18283793213817	318.1407793433606	337.9463733154892	385.21730248152153	399.09147542182984	370.83834752806314	373.39302189904544	403.6253188255357	424.2592785606514	430.8783232008385	431.4421139391541	472.5314772577516	480.1986888023704	498.0558433561524	476.1202865061109	510.05817065446746	499.2601553392026	496.4050390447404	459.6635262339869	435.6959688282332	429.92343799254127	441.12860430102234	448.6217935402465	399.90403109634605	423.05575454914305	416.6916300910091	371.96811701047943	350.0469974465808	360.05413434123756	347.17622280843136	303.3820793692933	331.41795087815166	296.8221043999614	310.36124068100105	293.03144122504256	346.9512308082787	207.02327747041664	20.43007983751121	2.1837340679953616
15.15	51.82736206860977	276.9387551394925	304.6578831472461	286.5495737388177	348.000646113467	377.75959284321357	338.73401066091094	372.4315721992232	356.02880886269014	368.56192584072477	427.22073886138026	427.32574225518823	455.2423160478952	494.3007952959148	516.2638698447133	516.3813109026743	490.972639413068	487.9998458541615	464.0800463532625	501.81995540058676	448.45837588968624	408.40209330711434	421.9177261318126	429.43388625804613	430.37011530044884	405.45733023859356	347.8141893504455	397.8007853432794	348.9843747701839	364.36140335056655	349.3535467450517	372.41365153536174	321.664455348515	343.7567910513977	315.7267183949181	304.81077815098797	297.858229131748	178.2162438203812	23.667404757336477	1.588818956697763
15.16	49.06977625427487	288.5861356119183	292.51304042325995	315.03237902879295	343.5742142777598	372.1907973323094	361.77117501616	383.1366775834888	374.16508337127647	420.5742388075735	420.0621985736724	429.6953664363913	442.86652041907786	461.78970893421723	481.90065513190945	485.77840238935494	509.4535459500018	491.8866870770424	451.5075028088332	470.7691870487029	471.93522408483216	451.8112724018927	442.6636507456691	455.39264925096614	426.813701330701	380.5522016285723	363.49693099394017	411.53972630286546	399.32120297853186	369.86325814535206	333.44575142643777	335.4942319471147	329.9363974769977	328.08383009873387	342.7788023452177	307.825652229816	335.0595150926068	187.1142949764197	30.326631970422575	2.380587602140251
15.17	46.62886761203487	290.12100767600396	294.5759398484951	326.19284033924606	307.91976964490306	357.9875788615544	325.3218313264827	367.54133492534515	390.58179456945305	410.16769713622546	430.1822388334954	472.13514035033046	444.45191787694034	412.3588564599717	443.7228371869206	474.53596474851395	436.3630691455519	451.04393557583455	426.5453550362244	457.3635556762868	436.37772858263725	434.5194184779698	390.41820484925967	456.7612752451148	384.07304658794595	351.59308817298967	398.4916318229927	385.7261608689797	374.0323420675448	381.4950303179592	372.5446182789955	334.61253047303904	337.1598478325451	277.5688179717738	284.3138855736242	303.4696831181987	360.2064196145503	181.2467802231656	22.988968981725627	1.1823820423916052
15.18	52.21100668474092	278.4448226415282	289.69767469616136	309.21555639019687	296.6899251015369	315.68468463085077	369.69534694774006	384.373951046151	353.33454806039623	402.7751285540659	390.38860635335834	417.13680430580115	382.43732920656794	408.7952122065948	467.56256656612067	532.4192991488916	455.3902989491021	443.3920022154261	437.4060218737829	437.2366501447209	396.8900001942071	393.2219689820994	440.9254736703634	426.08803243498016	412.2665162368519	393.70373300699123	352.3197280617545	391.0030641483844	392.41221142361843	384.3718186498446	329.3631073226718	313.3089299040381	260.3704980446501	312.45815137286775	299.0160510580983	313.0157346083264	314.006018446839	160.97357858413466	16.593274758938655	1.9084366046369845
15.19	44.039774044284464	289.162280440609	300.9789928370158	309.2641562798527	376.2838574629642	302.9923708146641	326.7254359191728	416.64598521459925	385.66064601234143	418.1343565725384	407.01782442290437	401.22572085036677	437.09928768922725	433.38869879975624	370.74936778277316	431.81320710747093	409.19868032098157	450.3749713847437	444.30455666845756	414.80012156460026	426.0053141394301	411.54510038150255	452.4175149477153	396.95521495739564	403.24251389279937	342.65409760426917	352.89894833136526	391.1084369214823	329.9067941637495	358.22471770646126	318.53585600770845	316.3792037680564	279.82145127113256	294.50553667279286	293.3077045856052	298.52406706086185	303.20092699509803	190.02953408672877	13.226015171322292	1.7580217934112488
15.2	54.84224275190964	311.31113237167216	312.4493412390029	335.1544088289408	371.0617394365749	350.8684356036379	319.9322454527244	379.7523427571613	406.96995067960506	389.111749101145	417.45529429929667	411.1083546874627	415.6115861460863	443.6808316051166	409.84408448736804	459.3879381267872	416.05144011681796	435.18421654972263	458.1529444841682	374.6118693844557	401.69036115018235	392.12779379915526	425.7139160626754	392.78005816909473	382.7335118127766	371.72053536706824	387.6477836357635	365.4273217487817	317.6956702803912	342.96699832223044	298.22538640207364	294.92380216348374	301.60413780258216	282.8430769646363	295.6374932775306	289.17423745858423	304.9332745863843	166.14256806289657	11.645601699307134	2.5538993962422976
15.21	46.22448380041068	294.7697126869798	309.7438701552812	340.91239583363773	338.8921674262068	349.3259333578382	333.9988467715946	367.08234299925977	391.2168838076394	372.916341631313	423.29443145348745	392.2279563927166	379.88868967140695	418.58182956987974	401.66154704581226	424.985022133127	411.3645581554123	417.4436497113644	429.31022404569575	431.6794715434349	410.07641818258327	403.2499970147474	396.2878375100115	377.1179034264767	349.74214224455613	351.49566201072486	339.1834836788786	350.9796564764442	315.5036137362297	347.20829905781517	318.3237129077699	281.2541008411366	273.0934858647574	302.56047186753204	270.87248815960004	304.8286711931676	315.8621818486452	195.24660959828907	19.462865705043466	3.399712037192733e-17
15.22	46.984788496155375	301.05438101589465	275.58753656486834	324.4590113154411	319.2920918413954	328.97036837069436	360.06930673955054	355.8504353061609	345.97721039273705	342.03309665045276	408.987649460054	397.56433177592044	403.30838548972343	375.8907297980114	394.0793365029789	393.6486350891041	403.9035010354046	410.68647645790514	372.8011927612188	389.96503461075713	413.7565831563743	431.0697817727892	420.7584766064876	392.4524175844618	334.29787699280774	346.9483861029187	323.31245741029704	325.85784237942477	359.26593660263507	317.33026311240405	315.6270187913011	304.50819278292397	278.0628559645414	289.64509386552464	270.33322758006267	269.01196275396086	292.05833199845836	157.0332485222054	17.04803623824015	1.1135811774444764
15.23	53.771186984753506	269.1948679487079	261.61293319346674	334.6228098697951	291.01604753547315	313.82863390650044	336.34188334939614	346.40057040962114	349.287375859648	400.4232427451107	403.90294065686396	394.1767482333645	421.41595749249717	438.8361695850136	375.0535118419238	377.70763227504074	377.702524554072	366.1856262865155	350.7735052572208	363.9780751422727	381.8323641966728	368.33731498952545	403.1269451921815	387.1476515962464	361.37592592238457	310.02288807156384	374.9671725809831	326.79576644035046	341.887675268284	317.2547901807154	279.22871867691555	284.13007790361394	294.73820958651106	294.64463332523826	255.28224064337854	292.1631627402736	280.5636907462957	182.39804719823198	15.915997962804983	0.2158634067185218
15.24	50.88602790525297	273.60107684413623	261.2976957139781	275.69664068225666	323.8269778530023	313.0525590489751	334.2657747963677	321.54465622732886	356.21716641662454	341.9361040512732	378.8057044582536	379.06917442739075	419.4862067058175	363.59994069963557	393.64417938020665	370.29569612504963	377.0251784953549	391.77809380798567	377.1116137019288	391.77120231003005	365.69101728867224	344.4223301830269	385.1336692750519	351.19981232826535	346.8393100464729	336.0658134272586	367.12756635942156	348.2052228069311	304.41605299003356	343.0330311553833	268.3080155539661	257.55271292943354	266.11469031354744	266.09052344656345	288.25347260084214	297.4655881223281	287.3156399035699	156.30179029893762	20.121666521313223	1.2976793666190944
15.25	59.1760758149297	257.9377714168174	287.348712674509	280.555825395103	294.9937688313529	315.55650242330506	302.3675778015505	298.76562144381927	343.03840565392017	340.69892946403417	355.3025852689732	339.0075129531923	378.06899944697204	350.747559006569	358.87486342195774	347.6640860314694	357.2451058759967	367.67093955125046	351.53103259129	376.10339283018976	351.9174213957507	388.81932740779615	383.4388660903429	381.3614555851915	362.0772756237418	299.2125130674676	358.75633864122625	319.26544863254315	336.42854074126024	319.75083553207566	296.12695120507846	238.3601092502431	278.96298369412864	295.58516801710823	323.7287265943759	257.39224992308067	280.61365093505447	155.5541774210639	11.707473419337353	1.6107178213867575
15.26	56.996847433505096	240.24225733646975	261.54955487904516	290.58963591192503	238.63684476486503	283.6161496324255	323.31128289639946	344.40646699761953	337.11918107397776	327.48786679331346	381.7271441589596	359.1303658132173	341.92598880175046	330.3509240042054	355.5265737906836	382.8178884326532	332.1155236132726	340.6488230958196	349.7875489067254	364.55041661869706	383.5199795467515	387.54719816328566	368.95595556949536	343.1639121942791	341.19017514586216	324.77538695867725	319.82566201390927	303.8164190729326	309.18933184622165	308.5984003008225	286.6342235204108	289.84489684728464	264.71791209553516	253.5357864573707	270.96101997573163	235.12055653408098	255.8898514846161	166.1687336706423	17.825585451579418	1.113746253970317
15.27	50.15647482099243	231.5511777258985	257.46244695798396	298.69032762013626	295.7646121246397	305.3178994055445	305.8127680355337	285.36650338544314	332.1209468714694	315.03749643886954	365.0085764438988	377.981145623806	381.7152739315331	374.6049008028303	391.0874401878437	362.63792539898185	324.63685388824535	345.51429177210673	324.3354094363458	372.09739840059615	348.622392823272	349.91298401053547	344.5909391255762	368.8353188803552	291.3273593982073	329.3545737956184	304.6451920056045	281.05979090300525	298.0864509356175	284.35567048356233	287.7016766533619	263.48932857421005	301.5837389309449	270.9355375140094	268.38169035271886	244.69805708406287	247.88649107172014	167.1403449340196	17.378808734395047	0.24693459946303434
15.28	54.22150283616553	259.0378296735335	292.03542228117124	270.96136273275175	279.65886674892937	287.8295826264195	293.2113607857223	279.20218710150664	295.1660512170498	315.43116602983014	344.2903124119344	351.9187108998897	363.1763486070518	328.28732797257555	320.64960553766804	349.93770458507294	305.55691680627143	342.4868191547242	322.247958064147	353.9272957030161	344.92350212378744	339.02080389055607	341.53642052908924	340.30848488905974	289.38157393023835	346.614468821438	292.12138750754866	332.27455238071667	291.40486782912444	278.66859828873703	259.7491975656569	235.20121252630736	255.15124160751404	263.1498699430745	267.25078327195973	273.68132368362666	244.4287845304747	143.873360855624	11.977896639418748	1.539117444022796
