
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_EF_Offset.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.0
X Max	5.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
2.54	0.0	-111.56418344892597	-464.66152445898103	-836.4744055256507	-1231.0584630292494	-1589.3518170213474	-1897.6893970259084	-2257.7268040326103	-2604.193570888138	-2918.553055302337	-3372.957699707556	-3842.2621666147243	-4215.782566393016	-4632.2233327351105	-5134.659200639671	-5519.217633044516	-5937.086540798219	-6378.961483889509	-6773.82603967264	-7178.872783153708	-7543.414150984936	-7931.745138321035	-8383.650744064917	-8777.263485722588	-9192.539695673388	-9503.87642401669	-9936.774197957186	-10393.579130568116	-10795.65484469311	-11167.151995127497	-11573.099758550941	-12051.4054809787	-12439.837617219739	-12830.917705466592	-13235.947244536457	-13590.38867577377	-14089.151551337736	-14724.72258514233	-15194.918557294142	-15600.0
2.53	0.0	-162.58882374441953	-486.5609939475545	-863.7839943384635	-1255.5573815153293	-1595.822258136494	-1912.4416533768738	-2206.152161241403	-2597.4574636320126	-2964.322112978991	-3433.4759904254975	-3845.267059339522	-4204.175681997639	-4599.848348329544	-5083.094265374295	-5522.737430957238	-5929.759585240344	-6387.7742956501725	-6752.0072677009475	-7147.040192987982	-7514.1197803974455	-7895.285491692722	-8353.10637073563	-8737.370412268776	-9162.666237049336	-9538.36511877756	-9974.935474079912	-10407.131963924245	-10817.719479893605	-11197.569149002424	-11596.739530458923	-12023.3096160694	-12387.846604768787	-12818.34573049986	-13194.997465249411	-13596.159466339495	-14090.036263002043	-14718.058808893384	-15196.476615142414	-15600.0
2.52	0.0	-169.01019319272373	-468.7058066569343	-847.7272507272379	-1251.918950418851	-1563.2797862404889	-1962.0721376565416	-2280.986715804859	-2561.0869625162877	-2900.538852184568	-3377.1477160056347	-3726.238456001321	-4186.941263186931	-4579.698733010155	-5106.087063498016	-5512.7237719586	-5925.408036117605	-6357.5109561895915	-6757.462372402497	-7198.867872648962	-7520.823053757012	-7944.427082476248	-8346.12304158487	-8720.755174942551	-9158.015455554874	-9541.534046595521	-9955.905516944767	-10373.6472037085	-10786.99459714966	-11214.341264870965	-11600.459108634179	-12020.838228834331	-12400.50670197896	-12853.663273236549	-13208.90248243286	-13580.600326713122	-14037.762522404208	-14732.806889281346	-15198.193170532148	-15600.0
2.51	0.0	-162.1363950844229	-456.73067415757646	-873.6033984280116	-1237.0511393977351	-1547.654113809131	-1928.4596749026184	-2230.139301031701	-2532.7967052848617	-2881.3558797068345	-3357.090877772303	-3824.983543080682	-4184.466847885595	-4573.9776191994	-5084.2433305139575	-5496.542134827405	-5956.074636335205	-6319.3917093533055	-6792.126775066084	-7136.545839292432	-7547.283898241475	-7974.3936291766	-8397.775732956008	-8755.049259902264	-9153.138845439466	-9554.085781097932	-9952.403702228195	-10376.038100036043	-10815.961988641118	-11215.320521836236	-11531.272853100405	-12018.12388033517	-12436.04351335734	-12816.523774092975	-13228.223022840799	-13655.320645721938	-14072.519138815245	-14727.376228386129	-15195.712263906216	-15600.0
2.5	0.0	-132.78703220769836	-437.8278464538799	-874.2260332350115	-1249.9923137064682	-1566.8491305775385	-1952.38162150582	-2317.400716704346	-2553.873167674863	-2935.8926139593405	-3365.115624828173	-3752.205827955265	-4154.766204367543	-4588.1075882218265	-5051.631585872487	-5480.143246885122	-5941.455674243654	-6354.773644624964	-6760.701660778251	-7143.526969245299	-7495.19913220305	-7949.254509817231	-8368.009767403702	-8734.523573893333	-9122.904911876349	-9496.892571934331	-9926.35917317668	-10403.710746841396	-10778.961714822883	-11170.554875835394	-11595.343004490343	-12037.517924100268	-12419.119381128809	-12815.099746532984	-13241.095824806998	-13657.37493461755	-14101.408500027323	-14718.172544807876	-15195.23039387155	-15600.0
2.49	0.0	-157.01265046236873	-499.7509322260022	-902.9765507209634	-1235.2685859877772	-1661.5756365927998	-1942.0304788377284	-2260.99938765519	-2611.5033392739856	-2919.105571827599	-3343.382284944912	-3793.1156230959627	-4190.0638142196085	-4575.371253945115	-5012.659263000796	-5471.3635970125415	-5976.380733960547	-6367.724361960511	-6768.51960760905	-7130.528331474465	-7528.702395865602	-7949.647571968657	-8381.345720424682	-8739.885733368055	-9185.058236203697	-9549.124111753179	-9935.516645414766	-10390.873757285546	-10788.329345929811	-11213.752953144565	-11578.73385742667	-12021.417735509694	-12429.706454952899	-12843.790837959463	-13232.182084194525	-13615.436543793876	-14044.459728445918	-14718.310724266577	-15192.248886811747	-15600.0
2.48	0.0	-147.07206890428165	-512.158493628958	-872.027541147899	-1295.3270250913854	-1613.2806354296033	-1963.7124900998153	-2260.585605188192	-2624.744895404427	-2952.276891233658	-3258.7429485266903	-3756.5601189048903	-4145.534792138397	-4609.483837225205	-5049.540839549659	-5484.837304048327	-5905.721475113221	-6313.885535868696	-6722.111921318142	-7142.28321368639	-7543.772021621585	-7938.037965665458	-8356.380966065919	-8767.835715423176	-9158.936245092864	-9536.871401304028	-9920.364535835179	-10389.47666141494	-10806.3299111873	-11192.135567284402	-11610.344271445352	-12003.211488756886	-12433.261944092623	-12862.801609890817	-13212.295810111467	-13605.212992029583	-14048.867898031067	-14717.562832816791	-15195.806635687664	-15600.0
2.47	0.0	-186.5001279973685	-485.40690639698147	-837.728483354603	-1253.3753485123175	-1565.9745160863688	-1940.9517599288872	-2290.685856660183	-2643.876895498059	-2867.2885900636834	-3318.9821886461614	-3743.384043783898	-4179.497172412625	-4562.697926574916	-4992.026512837631	-5511.046773175799	-5914.311215141694	-6323.298808920438	-6731.362499076852	-7139.880666223436	-7493.257726486403	-7965.84936977968	-8375.36012335233	-8757.917470956567	-9160.62269423335	-9488.797158858291	-9964.822734598138	-10376.814150801129	-10769.739287427288	-11174.085261467984	-11625.286048042437	-11976.909008014334	-12424.874746524223	-12875.564375572232	-13267.726630586409	-13603.799698164654	-14074.898069988125	-14711.900312375265	-15198.248528858152	-15600.0
2.46	0.0	-135.3542722468224	-466.65380375577314	-813.2240530534175	-1245.4365747847776	-1585.332353875956	-1983.5956164728052	-2314.235839539586	-2616.4752917978685	-2938.0877591214703	-3324.379555102974	-3773.8853182971566	-4187.0754994344425	-4571.692710880886	-5012.673614772032	-5484.327999740501	-5890.247740808979	-6375.399760909869	-6796.477722929107	-7133.0781134092085	-7494.463628461605	-7954.979007551068	-8371.873193090787	-8758.606778391833	-9147.635752026506	-9547.583343786253	-9974.66469045966	-10366.577970340819	-10730.731866345955	-11168.15216957853	-11608.47267845933	-12006.832896435875	-12403.65186236464	-12850.65901317788	-13218.393774468783	-13623.310229887678	-14120.424460344097	-14727.567567971226	-15195.521038530824	-15600.0
2.45	0.0	-182.35018011168563	-479.0753829463856	-884.3534602349423	-1238.5731792281533	-1568.3351485323221	-1961.9651537736656	-2316.628786159088	-2617.281412628275	-2919.701675884464	-3341.076494688891	-3739.4106046068973	-4137.997524373864	-4574.738218901657	-5016.944165965309	-5493.673645750463	-5917.052814602964	-6354.218947622377	-6778.859975139021	-7127.067046077727	-7491.236387000165	-7946.781552728281	-8321.06325903361	-8705.357031349286	-9142.479281442056	-9499.876065199669	-9936.680567590143	-10381.31596838987	-10768.595333450403	-11202.53239159365	-11636.311826205509	-12071.764509502367	-12467.62496258342	-12876.630775089141	-13193.251761906684	-13609.885240699741	-14075.715714194283	-14687.205631644805	-15194.835764630829	-15600.0
2.44	0.0	-107.2187014287901	-461.21673432274537	-850.653233129324	-1213.4230113409208	-1607.6568979474741	-1980.3163290632629	-2337.6961350876436	-2638.229048997231	-2947.3655707354164	-3272.3579944535086	-3725.212875158903	-4112.62886706646	-4574.777719086911	-5034.872638557956	-5492.908201539871	-5933.560311241674	-6314.275839915696	-6749.092296191012	-7110.002479832756	-7526.162533571918	-7962.811410062716	-8345.907852226017	-8768.601769734778	-9123.89057509253	-9509.805617022477	-9915.016533336664	-10397.953485289909	-10813.504074920276	-11215.952417446308	-11613.298964217294	-12025.091196221592	-12414.46800698339	-12838.41401670151	-13237.937893686543	-13580.871408066712	-14068.550757000983	-14698.972817738508	-15195.599026494954	-15600.0
2.43	0.0	-119.01704925355477	-479.31663714153217	-869.8053453889634	-1242.2137316808028	-1574.5977692646268	-1940.5437054598174	-2290.3887650190836	-2642.159379209363	-2915.3538130378274	-3257.3773522283527	-3710.5841794091916	-4134.294092893555	-4522.800792677441	-4982.474105654886	-5451.925224079622	-5884.357125021839	-6321.176667586667	-6705.1068746755855	-7084.203614416481	-7491.155217324375	-7913.741281269397	-8309.285916541345	-8727.492763150607	-9126.834271507027	-9495.64674685426	-9943.020297003239	-10368.763719269406	-10788.317222113048	-11194.361540748396	-11608.683580695651	-12025.037671919907	-12432.491078938694	-12829.4715462095	-13226.296277191435	-13618.304089091873	-14050.779733579302	-14728.044950001102	-15183.468008752641	-15600.0
2.42	0.0	-142.26178570644873	-451.427904768588	-843.8873032409123	-1223.7379029955596	-1616.1140807087127	-1997.9733772241948	-2288.462110342699	-2621.269119214105	-2928.9812265223927	-3316.759637171306	-3721.7309790615245	-4117.594979836571	-4538.6678344679885	-4985.553517988813	-5468.981524354816	-5898.86539061962	-6304.179691523271	-6705.451139042528	-7090.625899532518	-7484.281427643315	-7919.916224872735	-8343.345383126038	-8688.850617629842	-9082.44334666894	-9478.53908629875	-9965.80594827349	-10348.632393669759	-10825.19232706615	-11213.73112383657	-11584.08566637705	-12039.767828862216	-12436.226900755642	-12843.505171272052	-13239.921874650114	-13617.066414239187	-14038.172309942705	-14708.771678190757	-15196.887648970109	-15600.0
2.41	0.0	-140.98152783336633	-471.09410969220926	-864.3642216048604	-1233.2212449761212	-1595.118377689563	-1978.4165914200526	-2339.498378786056	-2643.346817798787	-2951.0851088529107	-3311.5611855721722	-3687.71321639885	-4087.235443562109	-4523.690109710874	-4975.68735238012	-5450.871236486241	-5917.652389994329	-6278.9685368589335	-6692.342437919813	-7118.565768231325	-7489.414519599403	-7937.845838410848	-8341.286414661705	-8710.637605278416	-9080.339145171649	-9514.676769017835	-9905.896056238375	-10332.845285558258	-10760.40706196215	-11237.7467449305	-11632.149533097772	-12034.409640157635	-12428.210497642067	-12836.459456924164	-13256.705088678951	-13657.243020042697	-14047.777046882084	-14699.278873708543	-15194.820199064528	-15600.0
2.4	0.0	-131.65849702190872	-468.6206243742165	-893.6465184450434	-1246.706273989542	-1578.9273348406405	-1991.0786164108492	-2301.9283255077607	-2676.3274500774455	-2954.8522611811127	-3244.642343132996	-3682.0021880826225	-4101.140761179599	-4503.531826885425	-4972.648798926554	-5389.845436161088	-5878.512341673544	-6348.54507649226	-6708.36530021117	-7062.071267465656	-7484.286595443238	-7920.283630191913	-8321.153112752863	-8675.632971961351	-9087.373970281627	-9525.359600129315	-9944.003057653492	-10376.165699169082	-10763.693754700158	-11225.159036117275	-11613.417121084593	-12040.479432999526	-12417.158796655536	-12799.983893444074	-13229.436943964956	-13609.381425847425	-14062.690561715805	-14711.744074469065	-15196.24487687202	-15600.0
2.39	0.0	-111.37802216588403	-492.73247326403947	-836.4647499120338	-1200.7489192521261	-1606.4002476993194	-1993.2157736772465	-2278.8040511876547	-2679.129903499982	-2976.143647431113	-3284.9640774643444	-3662.3531569902607	-4089.2062192779185	-4517.038484435605	-4921.713178380992	-5399.265326649614	-5880.160162685432	-6276.532342373014	-6686.801731837651	-7072.116183064602	-7513.486460545386	-7921.093652375589	-8274.739691619186	-8690.896936173622	-9121.492941077171	-9501.248595435405	-9943.897110379912	-10334.55581781599	-10786.986399256073	-11236.579866409156	-11584.92406796215	-11995.18547048989	-12483.076001365313	-12880.939336318275	-13262.685487050494	-13615.162739295194	-14090.925627782279	-14689.916243502037	-15196.21359859214	-15600.0
2.38	0.0	-153.2869646275239	-488.17733768084116	-872.1448378207649	-1261.8296408554295	-1620.408641654985	-1971.443611594169	-2330.0729471175387	-2656.6923441292033	-2955.0827005646543	-3262.909587495698	-3620.3974726726183	-4070.9468282238004	-4507.8989152639715	-4926.722049481926	-5412.27815028564	-5885.0302458448095	-6286.257880530443	-6681.6611111818	-7050.099973281285	-7499.2972264834925	-7912.482928970704	-8271.828849811402	-8677.019654425629	-9083.21281618556	-9516.41634707816	-9904.250435672806	-10380.627637869089	-10816.132388411384	-11205.432103707486	-11586.109812584013	-11998.23353581232	-12449.461969979264	-12818.264940200334	-13225.63451141006	-13671.407087902755	-14083.817737747977	-14706.573592537874	-15195.01533098892	-15599.450025717051
2.37	0.0	-134.33313920785292	-469.254896465467	-856.8569948744919	-1201.1873904090362	-1604.5770635195959	-1974.9911122164	-2317.391893400179	-2632.977057814869	-2991.1404959426054	-3284.4821883309037	-3663.5920674319614	-4055.2254859732157	-4517.242009805467	-4915.95680331184	-5425.365437129352	-5809.00434515067	-6266.974376251486	-6671.882885077603	-7088.973220932262	-7524.284224837477	-7873.789893734185	-8274.807258217304	-8678.442352448743	-9049.578334611724	-9495.050353720497	-9945.009585945894	-10360.021371208404	-10751.408006111795	-11190.373553397074	-11601.55075406305	-12017.240604719032	-12438.343934545692	-12839.12011428777	-13226.249375237447	-13620.886743764244	-14069.212389372242	-14673.76674513163	-15195.097518629567	-15599.722838628228
2.36	0.0	-84.29266586848627	-444.9862242456744	-863.0208204065314	-1224.9324497981556	-1589.7160460803466	-1971.6963596289784	-2334.790276689963	-2688.382500788534	-3017.586683475436	-3202.1444624392434	-3659.336803605437	-4077.2052103512287	-4497.778259175269	-4938.937966490854	-5368.1956387624505	-5852.417705448672	-6235.304837287975	-6702.591188154479	-7037.839682349095	-7499.033493295227	-7917.488093574892	-8279.862344697765	-8651.684417545677	-9103.972720335936	-9513.7762311097	-9884.549366927764	-10344.742796768282	-10760.088670377412	-11195.758256557689	-11554.921874585585	-12010.700250741795	-12404.62380512362	-12828.100793075866	-13162.086965667506	-13613.209018340047	-14038.295386429643	-14707.435204010611	-15197.986227922422	-15599.707969390442
2.35	0.0	-129.31078613445015	-463.87121587641633	-836.4802193432984	-1256.3576043704888	-1588.0690602915895	-1972.5790164578984	-2310.6180410701013	-2642.638651043833	-3009.7643806511496	-3273.7399959084664	-3607.938934174762	-3985.163593323708	-4433.530367869727	-4931.794858543138	-5390.455978693762	-5848.207046749911	-6234.269891455995	-6668.508170557327	-7033.349933349893	-7424.610545444409	-7877.281978994536	-8251.981408663405	-8639.231561323963	-9088.911189436858	-9468.617011332617	-9899.69828391488	-10339.110977406881	-10796.562799667836	-11233.363529941342	-11634.354965080885	-12013.824862449783	-12447.968508293914	-12845.930426055726	-13210.152577663606	-13657.365575782547	-14034.424717774455	-14688.350233960085	-15194.893607150763	-15600.0
2.34	0.0	-136.0571700830278	-460.92196082326393	-854.4515844150151	-1242.014914575398	-1605.8746724075615	-1954.9501553515763	-2356.929902329427	-2684.11651057137	-2992.061901820253	-3300.3247328012862	-3620.6151982530873	-3970.330259336565	-4471.487830658899	-4870.712646055169	-5395.847032366805	-5799.904744392613	-6224.582254834534	-6610.168163954798	-7022.635356682169	-7466.213294113615	-7852.779017755613	-8252.647910550933	-8638.008525118616	-9094.345073821674	-9515.44696764224	-9903.135424870283	-10340.208057314734	-10747.075957280316	-11189.429162712519	-11621.19319697541	-12012.901214255999	-12411.353151964344	-12834.251203571117	-13235.908894168668	-13596.919746624448	-14067.762474988791	-14717.452576215728	-15194.103516849511	-15599.770586467206
2.33	0.0	-78.7778529125298	-454.95952639414344	-839.2676329677649	-1255.42086064215	-1622.824320226005	-2000.4330024896622	-2331.9236891067294	-2681.4666385032833	-2993.612152092992	-3279.6959922588485	-3594.784161277114	-3966.448581737568	-4390.9989037532105	-4866.7730572602595	-5439.179044627823	-5762.862776456143	-6254.4900609559745	-6652.281638379321	-7041.175933632408	-7443.395582441106	-7831.569403274115	-8232.858253875054	-8644.577906127386	-9005.138610581153	-9534.975573522617	-9919.351365414528	-10328.533599754204	-10766.47170386366	-11182.776789149962	-11616.308258700032	-12032.040071161622	-12396.575967686998	-12866.207373562827	-13176.16726919055	-13619.242797148689	-14043.23131090009	-14677.274165889905	-15192.124903256701	-15600.0
2.32	0.0	-115.39123195907405	-481.19890540474125	-858.0299481871327	-1239.2083489667525	-1623.4895030167688	-1985.5280864267881	-2352.4987983777646	-2703.728314111852	-3012.573677971424	-3315.5959517916626	-3592.8366353296506	-3926.839764792847	-4422.61316050307	-4861.482995526023	-5297.21348461281	-5745.467154322691	-6169.847434106614	-6671.665954680422	-7019.22680554401	-7422.050418623135	-7837.84583276633	-8228.044557965368	-8635.6737721366	-9044.262846029904	-9508.93086092344	-9940.465771946103	-10358.5776208729	-10756.292431200183	-11154.574773251843	-11591.834847491735	-12017.13290150506	-12454.988153739494	-12850.394381045237	-13222.328264400569	-13618.045076057764	-14044.573162489844	-14708.636253652247	-15195.396646221672	-15599.765092886935
2.31	0.0	-115.96838356431596	-486.4570727447862	-861.1636679329229	-1238.7151899300795	-1577.0623956463717	-2018.1568799022448	-2311.6160576550897	-2711.8846310553968	-2990.023653602635	-3264.2644564499374	-3602.4382273897227	-3962.8264529394037	-4426.566007969703	-4801.226088289045	-5379.128770364306	-5827.549237824269	-6222.325229077798	-6617.634483083667	-7014.254886004603	-7426.724200999766	-7787.961642579515	-8252.769697045336	-8675.724466679028	-9070.65485059729	-9489.673092927409	-9928.070612676209	-10392.987617760462	-10753.848994318474	-11191.235712261026	-11546.685420478176	-11995.260999339538	-12446.488263414838	-12784.187446603133	-13217.96577323056	-13602.393875259126	-14060.687951797774	-14704.040300024526	-15196.262940345368	-15599.209995077965
2.3	0.0	-99.75162252181849	-429.7908374517661	-850.7795354859501	-1245.6682714898013	-1645.3582631456306	-1950.6515292780232	-2333.3997816296683	-2718.7053946486794	-3031.083825574484	-3254.0857930774437	-3591.750787503021	-3977.447166255968	-4356.766413611603	-4826.111614995387	-5289.10032876642	-5754.267437565923	-6189.700705679906	-6592.8942297543	-6999.717761147894	-7424.265952792655	-7773.008727968077	-8216.262064674587	-8674.66810865738	-9092.816280409308	-9498.970597288826	-9893.218730136174	-10334.612780113104	-10731.614589804316	-11142.750174682471	-11587.103247794337	-12023.680991874378	-12428.99881308844	-12804.469548166739	-13249.111027211107	-13616.656365438907	-14016.93633592857	-14708.199425757644	-15197.535490898346	-15599.259781534045
2.29	0.0	-128.88877027106906	-447.8507148295469	-808.4076211728343	-1238.105370364134	-1671.0457773892063	-2035.1599471852142	-2365.104202703383	-2716.243427187208	-3026.6450737459527	-3321.022257245286	-3579.918585305179	-3915.156073564313	-4374.132545116581	-4857.741049852871	-5291.2876423419675	-5779.063248494627	-6196.974208682392	-6621.625688985976	-6992.951827864888	-7408.342353414549	-7801.10599149669	-8196.236605578604	-8639.232310196738	-9052.959591088213	-9480.451161000032	-9920.991606273166	-10302.647190300344	-10713.917640298901	-11160.718851384812	-11602.079840884939	-12042.557055801592	-12406.748883322118	-12830.48234003796	-13251.864020864543	-13613.759576495848	-14040.32701040928	-14687.554874892689	-15195.4726603273	-15600.0
2.28	0.0	-124.66745396788224	-483.7542075542298	-842.4612187096892	-1238.6258982200557	-1629.45492101648	-1950.8473559496135	-2368.417604775078	-2680.0522557595	-2956.6873307275246	-3296.751623316398	-3542.3963483504754	-3990.1977845522338	-4360.643416054602	-4814.905199781713	-5255.402666235331	-5755.401492821859	-6109.508531556327	-6561.491421016346	-6949.143327498593	-7400.871397390398	-7791.396468737139	-8163.9990986394805	-8626.24223517746	-9089.78727386063	-9455.120299902614	-9916.143667175724	-10315.258773547483	-10743.680330633144	-11140.84232459081	-11579.357491175935	-12000.478241386234	-12425.16254820064	-12838.412426306399	-13212.80903542243	-13588.545951065942	-14074.67608099529	-14642.294041250127	-15198.318309793793	-15599.778973312385
2.27	0.0	-87.0322709542894	-443.89382705858947	-857.0440577138702	-1221.950826034442	-1609.1330184481124	-2018.0877090344572	-2324.487881888529	-2689.229568180047	-2997.5097096660534	-3333.055395092531	-3594.5315034384685	-3964.48895003031	-4313.00566372229	-4810.007056775685	-5234.796502573481	-5692.425912502216	-6152.436602713142	-6568.730163326919	-6923.20393210822	-7362.7846338733325	-7730.507010779834	-8212.14971478112	-8646.767089321409	-9072.819993842615	-9482.719135720175	-9878.257266143237	-10345.063375292413	-10741.046754953099	-11200.23779132294	-11625.887555570465	-12022.197133461965	-12446.249407819638	-12854.52149616912	-13222.211572474085	-13616.07211011324	-14055.05986587552	-14680.931764513562	-15190.7638521801	-15600.0
2.26	0.0	-92.42620739067206	-479.51646644351206	-826.3197350314249	-1226.0646771106174	-1595.3585345555239	-1955.7763397572267	-2328.1601292991318	-2690.2314535168653	-3016.0515077531736	-3341.937574302973	-3623.1054111121944	-3954.2203098540986	-4324.6351403677545	-4808.028022771244	-5236.233222118543	-5689.978956371714	-6104.184856132289	-6553.309620521032	-6916.413165676505	-7379.960804005092	-7756.065294664479	-8158.173365849723	-8655.200728388241	-9055.492974741312	-9475.157184948976	-9907.681064174008	-10368.679191360374	-10763.202294491097	-11179.9292917366	-11613.22854917777	-12004.097485400296	-12421.60809718724	-12839.823143380556	-13214.37036548508	-13627.121827558607	-14039.154055787367	-14672.159268534586	-15189.835720871173	-15600.0
2.25	0.0	-114.98527770509179	-423.96228187345935	-849.8569705537939	-1215.8479643316655	-1646.5746931104343	-1993.0698749607766	-2354.78298109255	-2697.2959136446743	-3008.9037579535443	-3285.3654177789967	-3648.207547022545	-3916.526193192589	-4273.214893342514	-4760.414881708123	-5185.538576212362	-5653.5909794293975	-6082.283910909639	-6483.110423361644	-6932.143457774793	-7406.646251779527	-7744.458092151238	-8191.447933554762	-8610.523731203197	-9013.83337429523	-9462.578826713267	-9876.329600512467	-10346.17887684138	-10762.58939881157	-11146.04594804803	-11585.412395291472	-12045.95261236901	-12427.226146982202	-12845.448725668706	-13220.257391557403	-13624.146161297596	-14041.213404097585	-14666.56483207128	-15197.020730002598	-15600.0
2.24	0.0	-104.94518798823486	-460.80758099296634	-866.9187375119476	-1224.5471928563334	-1618.9259966272703	-1963.4667167858372	-2339.528025736107	-2709.0266780399843	-3030.4570497074933	-3321.6144959206194	-3620.537489865087	-3951.515708653011	-4312.611742485681	-4736.715117163297	-5210.743271630792	-5671.039766911161	-6180.732825242049	-6491.022813115045	-6910.663061562362	-7313.679780771931	-7714.548924671254	-8168.625260963872	-8640.46785267003	-9049.836372783488	-9499.759769154198	-9886.429703807626	-10322.022078036944	-10771.141920215252	-11178.621709086601	-11607.356519288003	-12049.053379487175	-12389.647864578521	-12836.561557219444	-13198.752085071596	-13648.177663303542	-14042.29239464879	-14685.162655011087	-15188.573625588378	-15599.267005802192
2.23	0.0	-71.3084842420244	-448.7903265893079	-858.2822127972345	-1225.5757423657708	-1581.4109406080208	-2011.1727579492006	-2367.79799654539	-2671.7212049478303	-3015.59093476676	-3410.672537975076	-3648.892160848581	-3886.5601649042624	-4321.087971546761	-4713.80790451829	-5131.6265598573655	-5666.353122242539	-6120.806655422113	-6530.97684353369	-6888.09426896776	-7323.00279715812	-7711.2130738933165	-8174.847974627344	-8653.132855135103	-9030.35859568831	-9438.722952903647	-9932.638904913698	-10347.13588842372	-10755.322169395155	-11159.494351518844	-11596.7404724165	-11993.345975949573	-12433.614211402786	-12848.55934561858	-13227.348500561386	-13597.962536599533	-14038.191188011795	-14665.211232469199	-15189.733984808112	-15599.179030561047
2.22	0.0	-80.30245852707606	-445.8113074210292	-848.9495619707341	-1226.6759225521223	-1631.86084723063	-1969.3405847164606	-2354.4147733417644	-2711.073558301842	-3061.1183685301085	-3407.216739572579	-3710.0868384674686	-3943.114791975458	-4302.869451144817	-4684.867161468192	-5120.311119433375	-5671.633303544333	-6050.999385333936	-6478.816591835856	-6860.0690750511085	-7278.714569311659	-7752.883808178318	-8168.5292699912425	-8663.362760683232	-9072.12129510031	-9488.748307549547	-9943.037681369975	-10351.595798710288	-10758.027263562104	-11126.07997054252	-11601.59985215357	-12037.771130345265	-12440.233554650991	-12780.386182004393	-13202.74173366727	-13603.927351493436	-14065.631363566097	-14648.686749926273	-15187.938803836667	-15598.787574716653
