
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.0
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_0_PESImage/Si0006_EDCs_EF.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.11
X Max	4.89
X Step	0.01
Ek Offset	0.0
Y Min	-0.626041
Y Max	0.605373
Y Step	0.001774
Ang or Posi Offset	0.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	16.89
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.576983 0.521978 0.466972 0.411967 0.356961 0.3019555 0.24695 0.191944 0.136939 0.081933 0.026928 -0.028078 -0.083083 -0.138089 -0.193094 -0.2481 -0.303105 -0.358111 -0.4131165 -0.468122 -0.523128 -0.578133
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.577	Si0006_EDCs_0.522	Si0006_EDCs_0.467	Si0006_EDCs_0.412	Si0006_EDCs_0.357	Si0006_EDCs_0.302	Si0006_EDCs_0.247	Si0006_EDCs_0.192	Si0006_EDCs_0.137	Si0006_EDCs_0.082	Si0006_EDCs_0.027	Si0006_EDCs_-0.028	Si0006_EDCs_-0.083	Si0006_EDCs_-0.138	Si0006_EDCs_-0.193	Si0006_EDCs_-0.248	Si0006_EDCs_-0.303	Si0006_EDCs_-0.358	Si0006_EDCs_-0.413	Si0006_EDCs_-0.468	Si0006_EDCs_-0.523	Si0006_EDCs_-0.578
2.35	125.51566377881272	621.1787793673548	651.6835110772593	762.5224219668079	955.4994256428796	1184.781628454204	1132.867816729816	1093.4636157302145	945.9961933863506	815.9239176074796	778.6938367699445	865.7870730680531	757.5975299993127	801.3245691970376	771.1509233786463	812.736680765004	735.5755870438556	713.9024150701372	622.4919298881675	652.3756045728036	276.5047587932472	3.2000793993371537
2.34	102.5748187996557	541.6211802449836	636.9213454697727	779.6629145012773	956.8734757283457	1195.0737467587066	1182.9592356668134	1113.966202768282	934.5495607600335	816.446290405072	796.9019726780629	867.2237416263356	837.491648797412	850.23693418516	821.3520483660465	761.9680583622144	672.5796866252215	598.6703840445242	592.5716810390164	704.0638448949669	350.5545717127777	4.571503435011875
2.33	130.59007811921146	625.9939731642203	651.5305357851349	740.0558130023427	907.7620571170953	1225.4225339996872	1203.9288379139512	1119.7197369831442	923.5013425066514	856.7285036574115	828.4151821912473	813.1196535531548	778.4212253172053	836.5025805204759	846.0288822356779	700.2890798467212	685.0145062836898	698.0039357149618	627.0788201179702	710.1811488282239	337.98633786645945	3.5241803484681524
2.32	133.94325200917262	567.0901055066278	641.9331869298727	803.188646299101	947.4826575986425	1264.8200743366774	1239.6331550169505	1185.6464974365176	981.5804451223053	873.3487150552736	905.2037993816953	885.7744203521853	847.2112144001266	879.8573015263804	827.1988986088138	744.8564509976171	709.484053142347	662.8407645483736	658.6752226148913	675.9974487987779	323.39029386552545	15.562889100285634
2.31	121.91549834801327	599.6264235754238	662.1648790848799	711.4510014604871	969.6559944968205	1201.9846904454305	1211.0753273927635	1158.9210878641852	975.5942994742778	881.2084667309515	899.5310887863153	899.7253536261625	830.8207678715763	928.7863474089534	831.8292147695388	723.0849971266686	701.3935886520937	662.2703796191603	624.091266684618	696.4179834617491	339.9382933294892	3.0543511496931965
2.3	132.3003759816552	556.6564107434499	651.3503545246436	735.4589542054639	909.878984045498	1185.6906843156144	1270.3248454900493	1184.3510461201759	1025.5658284995475	881.0083355842821	867.6900981961227	857.4148004621387	841.1249212108012	892.940122296099	888.6751908171989	782.23007846681	652.7311020577403	642.8499364338725	644.8444985044208	636.4126518997749	341.06760900348473	5.128284207382646
2.29	147.82337020705464	581.220658472845	606.6252660562383	758.535733455353	907.3497638568849	1232.4868933541911	1272.5049782376955	1211.4727440785232	1051.3774553423498	848.5445917541418	919.3520046216711	892.2580373926892	860.8695986190214	914.2394569817167	832.8182058968368	753.1892261108356	669.8241864243898	666.5164630467215	671.1131201680777	715.0342092290729	315.81883935305143	3.7323220445548984
2.28	172.02488018167713	572.1095813451528	684.1896766770197	732.8049792566214	934.8580955640217	1172.6099310161662	1307.1594115404178	1221.0765588395245	1060.546575124682	934.3950600803938	923.1291603254464	854.9692849122952	909.4536269653374	865.3504412811933	854.8993041256142	767.1061361775418	682.3791936238025	680.8286750774588	553.7813664892554	656.9898531599562	331.7086903635621	3.7639875181808997
2.27	136.9819769193087	550.3040040320813	591.8529371884673	732.9304414086604	908.4943651659111	1212.3236412672288	1319.970650134627	1277.7440479951622	1052.2168731059746	910.530860175028	951.284844148982	873.8083304883156	928.6287679126772	902.386969636177	872.8614582857167	691.9858980458039	721.2042455738846	688.5760275339215	649.5481666746093	617.2675087643524	316.5750159493697	4.049221019743835
2.26	147.1955919058339	577.6304263583299	680.0354974825353	731.2271589034177	940.8787495376492	1150.614928857008	1341.6751216356847	1225.700014684743	1088.6081841831249	974.2711830677848	923.1075210314776	877.7266209636939	919.0252241053564	967.8141427119881	818.3302712647356	791.2721722206954	728.365480214935	678.0276270906852	621.5945242933504	685.4377469507453	348.48890855901647	4.117442969493802
2.25	155.02205933322134	642.6988065422667	664.2727919308567	744.0974821269881	875.038276597704	1194.6585108767745	1341.330433366635	1223.0618949033203	1092.6760905574731	988.3606589397363	943.5865973651634	894.2194684590083	938.0887269063999	886.7684419101291	881.3996477713673	783.2249193488351	757.5795228688934	708.3578202724538	702.9289013113435	726.8925632327729	343.2967346933329	1.6935014628864542
2.24	130.2352978569054	628.5202596576652	636.4148006059772	757.8114737332223	936.485272131363	1144.378588860996	1420.1566026573093	1341.91347267424	1070.2796931696714	1005.617505649869	973.9505440665721	978.0712351633465	993.4605193859663	925.9008312861002	909.1910420241347	748.830911034139	652.1742818038119	657.141331534399	637.2597886368434	646.1621591051835	385.6827636861119	4.707877367150995
2.23	154.25512500747234	596.5154474542728	632.9385054857705	760.0864802718152	848.8161602400082	1143.5114201956692	1429.104563493167	1319.5950718830602	1137.9054306454132	1038.2173518050772	1040.5933657787043	958.6820569387628	978.1100448984656	917.463668957716	873.1083266043926	804.6117989837691	693.6557280178564	708.9388523875824	633.9430000561722	689.7263900855036	318.61014982250316	5.712367696546265
2.22	160.87030260920355	657.6202224101063	627.4648256425024	691.7045406830442	883.397252839994	1172.3849160325026	1424.4616470232788	1410.3587845145455	1096.1062004056955	1061.5363907892176	986.778301555774	976.2905642600479	1017.546762187206	1010.1529844179165	838.8959290392077	802.0914891035972	714.5753438796012	677.5114377811424	661.8494051048483	704.4699679469728	371.94598522775385	7.232170475582285
2.21	141.80526428189492	585.9562971777428	611.2135143592807	723.1992666969264	850.5706947923431	1098.5458345391821	1482.332994141984	1405.6668953442263	1263.8270888080472	1114.0342191753	984.2910862978724	1012.4789706443253	1017.9752107062711	968.7511545941577	815.5093973200786	774.7897050439938	758.0644748226275	654.319263999032	644.0566382882062	684.7135831932653	322.53981809599475	4.193032338270081
2.2	127.10977335287193	579.937317179453	643.3507441486291	743.1649336187538	864.4529181285852	1166.9202551935289	1453.6691670387509	1429.5374243114397	1164.849089917014	999.6824231334515	1053.648230524192	1051.7579469758002	968.1546474991037	933.7912419533196	837.0574893631258	756.2120664947265	766.9260891622223	681.2167073010494	712.4652205330658	693.1438337846652	336.34482449224595	3.886001462815504
2.19	170.23846037722674	633.8668216989992	629.7800076439075	739.119778824062	840.9220586625827	1139.661613548432	1450.5418095882353	1478.0131437518357	1269.5956764394175	1075.5521053567477	1083.227571508802	1057.7636216373735	1015.3517760847946	923.2231659269977	886.87573295786	819.7688871008428	782.5679683797267	653.0509528131946	686.5388352743394	667.2104257408685	372.159636900198	1.983983476139053
2.18	141.4844216329335	621.3891807426897	655.3689933015366	642.1247641587717	815.2945792407357	1093.067889882811	1444.4843784375942	1462.524168824205	1266.656078465213	1067.3017719175987	1057.0625375724421	1049.9932141629927	1041.4470555777375	967.1768308020202	890.0111095125213	867.3891969429852	734.71864159663	651.3866622577742	680.765491527012	675.999243045063	351.7806102014717	3.537597494343011
2.17	155.88457523727314	545.1838445874297	674.8887477300473	727.0260197192105	855.2721704966611	1163.2212908514282	1475.1213571589783	1505.0520795246734	1269.8509608608226	1204.4034479387933	1137.8655165073455	1072.378632922211	1086.5500155813427	950.9611016294764	910.402074851481	827.5252986441038	781.6350027361023	708.6469065875109	639.1658724737315	732.0553900479501	373.39021751209845	1.0724571513662184
2.16	166.4301333754954	638.0770946983675	656.4814037360118	701.0948036727448	884.5029425970918	1122.7030572361148	1416.0114576242652	1549.4504827056176	1328.03380251359	1190.9347798320186	1165.7661438145435	1176.6543402997593	1032.2688524244431	944.8580866111305	916.5271126780433	812.0984439871656	684.0197654846185	659.4878354172744	627.2479947791352	674.5508009821659	373.44996888278683	5.779603872457899
2.15	166.9862226986219	622.4756096403539	646.7604185947612	762.0471400840584	880.3288991147642	1095.5058989155805	1393.7569405516927	1554.9725925486002	1319.8945003101514	1241.3790904448952	1178.1071048206934	1124.8007073871206	1095.640693696697	965.1208361592702	860.8871666008051	779.9517449554397	707.1663464984415	696.0471491928142	647.5171900639765	688.7198988578086	370.56510745643004	9.707275397116643
2.14	184.19360582767266	630.9277037879247	641.1394160975973	694.9778871688222	849.1053949375369	1145.208166853488	1384.8221664728958	1649.9474963364853	1442.2187786859765	1265.8121739614767	1229.5022430616243	1105.807182449279	1080.574752748392	1030.4082916515174	918.2797292793492	777.8279095219043	781.1478895728371	641.9196756629487	660.501305766802	661.8326433586142	381.0126026889923	2.3485916766191366
2.13	175.18188502665464	576.2211971461973	653.3370136253102	739.6916894892848	851.0003155123356	1085.0611543765785	1401.2724372552364	1577.88693017855	1418.748248088045	1171.9483583832648	1243.273709798471	1225.1891227705555	1083.4985111394396	987.5359380040304	881.7685166382441	791.0584640366652	730.2433436803288	675.0038954281815	674.870064073232	652.4139243473659	373.98870401702936	10.164533077721421
2.12	197.43327418710052	600.1101970035639	661.4279725529357	724.7153657853878	862.1155450769611	1045.41009147539	1388.448832211667	1586.0658528905858	1527.6637443150555	1237.524657691143	1217.8065250842917	1224.110410469109	1078.355623538745	992.2350847152908	877.4401337096396	790.2699060472424	748.6114952155948	713.768153329189	612.3045977582759	718.7056137818132	381.9957749675101	9.460955534500409
2.11	180.81256979789103	642.5810460576232	653.5488627831674	713.6439286190055	827.515140914057	1004.7418487277674	1296.181848450691	1633.289472943726	1519.4247934229265	1306.468385828728	1303.3138918170182	1242.7318226997002	1060.6857424323646	918.4772346953814	841.3318241937119	805.6805650848557	776.7513491136057	657.7342999065966	724.1371169432279	678.1117304181076	389.7803316010093	10.35567783745645
2.1	164.15770955433607	562.232986302644	651.6198116066968	728.0050699718738	835.1066795638736	993.3121151978828	1287.5073355482205	1535.3575250708293	1556.050520180997	1417.539848291903	1273.8079570337889	1194.085041772134	1077.5930252362828	956.9090378451389	905.836169444415	793.05564639822	726.2633156638208	683.8259653268324	694.9303845811638	668.1394769328866	380.44635692636797	1.0030711853984777
2.09	161.97063751385159	586.9403146661039	669.0582512463416	759.2340921541758	795.323477454833	1023.576637818208	1308.1210351503169	1569.3871280295398	1537.2403599683475	1437.1419451506542	1314.693508988143	1180.8173502195823	1109.2230611287753	903.8150078324812	875.9203433537633	837.6702915704866	736.8580702097101	722.0569473550348	622.5313529460982	653.3487879073548	370.8490293137145	4.26206604458209
2.08	173.79808526220648	618.7864635353059	701.5181654436809	742.1816766132847	813.1601045278368	991.668890328327	1296.185708358253	1616.0103426755243	1632.1560705014647	1472.7102616834989	1344.6220575825444	1236.8609845877909	1024.423257823277	932.1723076877435	876.063053292837	763.5491716256568	745.3777655112266	676.3978728264544	669.5121493406557	650.2311363444987	408.06061661273844	5.10992141410427
2.07	190.48454515325042	568.0527401907143	630.6551866290405	722.2684761672696	832.0922199542364	962.4437063361981	1253.2439610204465	1647.2624250244746	1588.5333917129383	1505.1532956007707	1336.3189576804705	1242.5082896028384	1052.1936602506057	1004.4698997064368	938.2478894639995	839.2766908872222	776.9781791326534	686.8586082822796	680.6747612133835	651.9856877824868	392.9583686523655	3.1120258250991526
2.06	175.52858477484727	587.8983278835098	689.567150711587	727.9625347395219	821.664539694254	996.9890886415576	1198.3824299998535	1658.838417871205	1572.6749784137974	1498.284159407773	1395.5525962761496	1162.7504293697968	1118.8464942148564	937.1868835344897	793.8744293836315	785.4255541847631	704.5671330562194	693.5400734310092	599.9181287864517	677.0739623497778	359.18877697590494	2.877533547203417
2.05	176.23198257010915	601.5379420454856	672.9710088581962	746.2572792431648	825.3899298640416	978.0006559764131	1210.4061778798928	1459.4118308543889	1624.461175685523	1493.1928414607942	1388.9676492196797	1250.0484970505893	1085.764066321164	904.0947102575908	863.277783491904	848.5083017409561	742.7150330368839	682.6948051948298	694.9250416849619	669.6537686121055	379.6217983382391	8.71727126160826
2.04	185.31979282926602	642.0180591057016	646.6543760025966	759.58597768993	839.1571963766677	956.6030784613482	1219.3281604298638	1552.4300034602734	1612.2043096196862	1518.0504956823181	1383.796617883036	1251.8427481050112	1006.2262658267005	971.0100542208169	938.1543927260934	846.7687812425742	746.7166196154787	639.2352419802727	596.2700166955937	669.1679154851872	395.36029706130205	9.088818457914586
2.03	199.65285101744732	622.4042055834326	636.1961150038093	747.3425220787379	798.4272494980944	965.5398122381409	1246.665177775449	1508.84801489651	1655.0784696534208	1612.4183877853202	1415.7371663220413	1194.2868201622434	1034.812515105164	964.9708477366727	868.1669815925527	812.6751298227767	704.9108696192723	678.0583750341184	715.0673843989805	668.4858172974474	364.35284232984634	9.020174243635713
2.02	178.2251641123279	625.7326992820995	630.1690061876992	758.1741621019873	824.4989078016083	948.1676559951225	1217.109779437892	1515.6580224674547	1724.3169337692314	1598.1516376977856	1389.9057607716006	1233.1323113800568	1096.0617760519426	912.8815681515696	888.198689901011	785.9971892519111	772.7230627250024	678.9639190604832	703.0612152229902	690.7533052050442	402.34916895174354	3.260210557136369
2.01	215.99669273272417	628.3808439563488	669.7840035627817	733.0592158803657	871.3828536293604	926.1691134867349	1098.260803034783	1418.7858282907239	1678.6341672240421	1580.148595094477	1463.8473454669445	1284.4274701044285	1094.9475201174391	966.7562816335764	869.0450594659583	820.8599818845619	757.8041659167828	705.859741029022	676.6109822116034	700.2814876624456	411.3913579613618	5.553857548974034
2.0	203.62037033726352	582.3957805536444	624.4781505985202	734.1260833852231	827.0115028648542	850.7070567860867	1168.3275870522846	1478.9631661966505	1669.6064159450232	1555.0789742273025	1358.0870951118607	1138.4272656702483	1027.7090645386854	870.042344282438	805.0542308796726	828.877240033065	732.9441962035863	715.0531942245724	659.0831953138924	647.3059356416729	417.50485267343464	4.504124297183086
1.99	197.19205877064942	636.2836185235375	648.4286054054494	697.2557503836192	815.9345339512324	902.0485407762582	1104.6957179878614	1390.4654508263595	1594.724342459099	1596.2023656023457	1465.8155172103513	1205.7379769022343	1025.0302038436857	921.781974092574	873.6820225729633	765.4968146356002	786.4491229440948	680.92870491245	689.0133175855544	713.9711365603463	377.46041370140233	8.11634325925463
1.98	216.11517901946613	645.2042624846763	639.9152943986899	732.9183186222243	845.4595144340648	867.0126647066116	1152.7170739774815	1414.1010696883409	1630.2643399775677	1531.8493100401574	1483.3211170086768	1238.3438182783057	1100.585407243042	952.7212558766204	857.8869883341167	781.1712614469967	713.1885555852907	685.8076054054185	661.8148450477821	671.6821454929822	385.0372289965673	11.067089903633516
1.97	181.60139203032182	578.2276193790011	660.1662063685645	765.5803166611018	880.70781345004	930.1812802220888	1069.9746127249748	1378.3821660563576	1569.800284184914	1550.3228949684005	1356.638803643884	1153.5148304930258	1064.86572760445	889.3053588891731	843.7145332050355	841.2594868355816	768.3895887366592	708.5996944885635	612.8449201883138	650.9171736025024	391.41747943699596	6.897546997983968
1.96	186.86600645852573	611.6594944148839	625.239691324676	690.4571908445178	796.1041412408375	847.1707531835685	1040.3448393609685	1341.4469219336986	1532.2081404533	1497.2945830292367	1338.588236534968	1198.4178716806005	1027.5187528382403	942.47166602252	837.5480535010751	805.5541037213427	736.5635722512902	645.0467563338835	647.897775927508	689.623674583225	382.607341975198	9.334773876443206
1.95	204.2392723078315	623.2495718777354	651.5767675806535	753.2076390518847	778.4245942132957	862.7135836132338	1017.9437343632787	1329.6891810272937	1453.1911589762487	1457.3710747568662	1340.2578425771226	1192.6268179577098	1041.7947543230187	941.3239496186798	874.4822030156049	766.4601403957973	740.3155893158693	679.6409752230057	646.814000609123	630.9063662935729	377.8179576818899	8.45166305728533
1.94	210.98718995867688	552.3728955266021	660.7581299167721	742.5215692953285	799.5659086803638	941.5278232382905	972.2917329474043	1281.7663754465548	1421.2209489670508	1418.0732837110306	1278.6460545181496	1191.227533962476	921.9934766618736	909.7372168854288	895.1712462431523	786.9529570990262	722.1730317795312	719.0996805373975	651.1225646195467	659.3283857435158	391.9806930650143	8.934629006890159
1.93	201.66968214137992	614.4532348189665	665.8197424913275	761.8156396388625	827.144734414273	835.3628430313124	1007.2155391208518	1224.7842155411965	1457.7915532436682	1392.2221363085068	1225.6984241218427	1101.656370885735	906.1766701486008	922.7909995946708	856.1142551653187	863.8036743194004	738.0828243093715	708.9808999940647	609.1248434194836	670.2352647231094	421.2285868364769	4.7202950541778455
1.92	207.9658909113095	555.7135974023103	642.1683712916514	657.608660702019	831.8434399103146	820.9178709854182	970.2365071021461	1268.4957702283345	1399.0904765477298	1312.8200402824864	1170.4182923074504	1120.5022166832039	957.7732456037685	878.8499653817024	781.4179577235734	785.5659644623485	719.9266345442726	762.2747290388849	614.992445760991	680.9379089429179	391.5918950865806	7.398850993624068
1.91	198.52542988039806	602.65978505972	635.5680660089533	753.2142300753264	772.2399957640916	829.9639991384065	976.754084778863	1178.8159285637078	1471.661486518948	1382.188132496346	1230.5506019472846	1052.119595263635	1018.5680330338574	856.0119192616528	925.3716142960284	808.2572347864326	739.1697144238615	732.9957429292376	650.5038493034629	680.6746470626811	412.7844322728555	8.666992246147643
1.9	280.9363941904779	584.6204618865758	620.0600498631736	722.1836224701182	834.467217259648	885.6906511781398	951.276566835838	1141.568679137912	1352.1166393313645	1330.2234914019377	1182.6456997118892	1051.1539170101316	961.6072191107087	861.2880066371671	777.4243291654271	742.1371793893805	732.9477854942057	690.143998900111	602.8151708788711	675.734460031774	398.0540491558757	1.862706597958823
1.89	206.64280695824613	582.3787335969321	635.1843190443392	699.7979415480984	821.7215255209748	901.4914351261839	925.6616070016579	1197.5000620172568	1349.9464310879957	1318.919763920175	1248.0163649146332	1021.7687826168786	923.8484790790776	844.2555290317761	838.0375078281558	775.8315795982201	759.2437098033382	685.4650724766676	600.4278267297235	664.2658861239836	436.9522132517243	11.470145415936692
1.88	211.6586616712399	585.0374709974129	676.5704434185411	739.5998604709906	743.0557149335602	851.0191169644903	956.2368049847797	1121.6236436734653	1208.0421655406064	1265.6668770652504	1217.1127982730463	1021.8225157691036	894.2475888742886	854.0879050921399	849.1397866284094	776.120214278941	700.9908991159475	659.7963115681854	626.9403850423259	653.4721178356028	445.00986187030895	6.629986907416387
1.87	203.47253629695004	588.8514914512601	721.179796400145	696.9003871933669	760.4443953545486	818.4814179654957	958.037343235532	1115.8063211175165	1218.731389408093	1231.6337277493642	1128.1042275016011	994.9692743147205	910.359549783849	843.9228674424306	854.1692611413695	752.2502163781896	691.878560734597	712.022571470733	602.9005636328143	663.4967091647313	359.92419993190543	9.729669092172811
1.86	229.73051837214408	575.9775271094961	687.2930437209263	700.3150058637998	767.176969042596	906.0854324677496	919.8484001298982	1072.0932079261797	1257.9884673595313	1237.1327547050378	1115.3386949056885	1007.620905396276	907.000618207251	817.8449930860554	802.4532299681589	742.5928521895981	702.0444771857561	726.698428505484	638.99977772568	658.5259853088554	424.5044174990043	7.585099886762771
1.85	219.5034486446766	633.8270747450849	671.7383860265152	653.6959266973579	712.0471268393599	847.5932673940935	923.0900913557348	1055.604156957471	1267.7247495492509	1239.408838571878	1114.1253523738815	989.5509737873585	872.7130215548365	873.7372229179394	766.8462371350769	774.138555526395	766.3422945150112	660.3581220599566	561.2592200567434	648.3728278378636	433.637694628533	6.748243063331189
1.84	197.39976354311227	570.9672094798539	620.7420045366603	725.343639078714	735.8594722849817	787.6407280004154	871.4114743406859	977.0204434774319	1168.2177278614727	1167.786993409269	1004.321785934681	1005.4145056532475	921.3263981003253	879.9654121323201	856.1758430619583	734.9051930069949	738.5416997963948	654.678779804564	565.762970976644	605.6300445621629	443.38534997829754	7.784515453459322
1.83	200.38255002355405	630.4788262787679	665.6326190614213	733.4401248441396	752.0898062870406	805.347289712874	892.7166487239758	999.2784791849834	1148.6349742293135	1170.359142618492	1053.939798542754	954.5999980606462	854.4989940191591	811.3446507484927	775.8351286633207	810.1819621468903	717.1820807938134	628.5503404145728	609.589620257072	684.2781262994708	431.9951915828391	16.30501970046401
1.82	229.89886347807422	622.1359599576197	653.8442337652426	716.449401827806	802.4356621774455	866.3834767745002	861.6311357962746	1017.260016217797	1115.751347555518	1111.5745678297917	1034.9110406443483	941.4174515377557	919.979061967047	829.2792923642995	794.5258669881471	795.629263503035	706.5645421069618	606.9557188462638	601.6497944270432	634.4032332761374	370.5426994512197	13.938725308930632
1.81	207.26273161466167	603.9721762808346	620.6661407163347	721.3192668476275	775.6310277115674	845.523721235979	937.7488486982232	935.8226152576167	1096.0496433285855	1135.6060332847633	1063.7496534045406	904.4492777613264	904.8158463661799	829.0003627319227	801.2497701978638	688.4844138204759	725.1653023356322	648.9376264795546	614.1962348087794	610.1551931494955	429.381421277017	7.308026463734509
1.8	209.6290623195093	594.5092887973605	638.1270996699814	685.2696634539157	777.1026478771822	805.5863077294554	796.768031183616	945.0363665766629	1054.3117511575228	1111.955515253443	968.8910378763582	905.5034260034231	925.5550607294088	814.4401221893729	756.4787322989919	742.9604136833049	628.3308059264028	646.9875736151566	601.1523792277824	625.1248415108795	431.6620029100709	12.027511167464139
1.79	215.5256015448197	606.2890261986023	653.4001074894765	670.3525531136645	726.0233672320011	719.1292475958269	821.3995745014734	906.7194014185574	991.9520687831405	1060.4778142262007	911.1476394156064	899.3358079407267	866.5766932636127	761.6843777570291	787.0328163662025	760.7467149867434	652.156829293278	577.9363043117069	551.1446327933702	594.3579186430204	412.4096048365113	7.279880118759381
1.78	211.8037174114282	606.3069368929059	644.0273892221785	672.0386897125592	694.300142751203	777.0949462929532	813.4611756117205	925.7649904174585	990.1784818494205	1022.4270249991835	928.2654706741835	823.0306121994948	812.6383941282959	762.9690067164152	731.5061568430477	727.8494970614732	703.4070623193585	699.5876183396529	639.7294660672495	583.856149751937	461.3056900834003	5.141034555446044
1.77	222.70505231685937	543.7689471273679	592.3403461413774	656.0335675941263	690.8981632055867	747.8865283391165	806.5473175223054	938.0127360101305	968.4093007284193	1015.2967909030875	892.9723894416577	805.3583694017725	838.2957609953794	784.3754412964691	736.3795154542121	714.187621715415	656.582163734749	645.5288813202877	568.1943112021349	603.5135306515476	400.1090437893712	7.075606739946057
1.76	241.77801412739944	517.6166611665902	611.1118805193993	681.8807313327361	680.181421361276	805.4384482120907	787.6707203765693	855.9764527661912	943.3863021227631	946.5451491726352	885.7945949732948	797.3790211172507	868.9780114879215	760.4020281984888	774.4075643016696	713.2734636584316	635.4877478834525	654.861037406363	577.1567974030888	566.0736630382365	445.8202913754202	8.547870035808897
1.75	189.6692137172322	572.6005430093928	669.8589670728747	679.1305101800059	691.2269879326439	764.5358169477144	805.5808209117973	853.5414648157686	866.3405934103546	898.8823927748186	837.8280525951797	769.2122887220678	794.6365061855614	710.5334548017494	759.3080262842348	631.5020756346854	620.4222384045169	569.91881600543	554.9700856682284	533.4012096510412	446.5228309909049	19.745187119589247
1.74	205.85206290354236	521.6335444950325	593.692804453699	627.1450600014427	657.6878859773223	700.7031597353557	781.098979317611	875.5293358235773	927.0754627397787	864.0569036897772	849.3542756195733	777.000225275274	741.201401734649	752.6682328672283	669.969177581387	651.7152774659606	631.3494496705554	625.5508800464781	597.7981373189372	550.2614429826871	377.5441770900446	17.402060995493958
1.73	229.61590607524371	531.6351590421644	591.3215969891583	652.755822577525	685.2248016441896	745.6925386171587	759.4052274058663	823.2715080366095	898.6066517142203	881.8216439351066	812.4935430402045	828.270727278366	801.4432163761629	750.522505702591	660.1452910221814	706.6884549030841	623.734557733442	587.6328687625524	593.4300058691069	577.9183127877166	419.141421816398	20.710832468202632
1.72	223.18918693668905	535.362712761399	561.1060511660878	646.4375378801429	659.1102954499127	731.467625896442	825.9863145610512	755.2268301255968	819.6890290323286	798.7216890527685	785.7943598236827	779.6483521961939	743.5157199810257	686.7927579337771	668.8229190187394	684.2084010321805	676.5511623043786	609.2596917840315	505.2167292164828	555.3802091345588	430.9343325007252	16.185491287024558
1.71	239.95579491475775	486.9805473647072	544.787889252812	629.7534340257039	658.7170143925061	698.5943223511402	730.0013631448384	742.6731600385829	880.5260350137664	802.452304418123	780.7550236243751	708.3603542302527	762.4179183336714	712.7772969471613	652.4667904262163	697.2528083631107	629.0808925683863	529.2489748175803	526.2196574190192	553.8250055921211	375.5846949288549	14.630982462255183
1.7	219.06442516027903	524.1513209856737	637.4474882376978	573.6579669185452	706.4797595991737	733.7468346465716	744.9021269076756	744.8726802152216	733.2230369003208	769.8300765859256	769.6309780877529	755.095606828354	759.7346158935405	687.9053459427674	614.4939031963123	632.9026112528849	604.7859839025984	536.4962063052003	533.024642190594	508.66404589331313	400.35661685856917	9.310981347385573
1.69	247.11489932151886	567.8467020222422	633.6122963620772	588.2129546098425	699.3659320921065	718.4674452930639	739.7466584376009	746.9775750861328	777.6098108121987	771.9874776470989	733.5253631872381	702.2635435240455	727.0053499591518	675.5483999157119	678.4675391282353	591.1218398583004	577.6414437338153	526.6946202254479	518.9968762763464	512.0120937275653	368.88337130711085	8.366097708983496
1.68	218.44771010142716	552.3478972750999	617.0683759476821	608.1225751131695	672.9600368716788	710.45563108939	684.0075282227212	735.6434873059861	748.2941084259235	731.7703961385947	765.8752061837798	720.1060518682674	696.3202095554431	628.8400937114807	601.0680112409021	596.203194194096	593.8027097358475	496.6752891737674	505.3939226664789	527.3242545040539	415.092654011443	11.373809212988874
1.67	212.0329304289962	551.1379797041732	562.4940620489734	625.7853165808085	611.8077689685258	666.3359936350171	692.7475795060669	698.0510734986917	709.7793343184784	708.2227680499259	693.1984825905499	746.2547101296747	744.9617834608689	601.2040339842275	594.9188383356488	611.7505272060583	567.4594422112505	507.7180881633672	481.3046040305604	528.222671200948	331.96907434310435	11.931162241185358
1.66	208.807159085387	508.8125554200005	538.9570429930658	589.5090210625804	623.0792602530776	706.2344912721941	714.1446475806815	757.940554508186	666.6455415473297	658.6801785865665	634.7635687429349	668.2980274653802	704.8591562787317	625.9773802952479	622.0339898827009	583.7190791254163	532.6086313299575	500.12059453640205	515.41109212188	510.5921238691349	353.30023479199536	11.185354143849354
1.65	204.4213242591124	465.8570614454764	565.2654103956688	567.4917506217408	598.4501483413884	635.288346989162	714.5171187215498	674.3958789715832	657.1614998243388	701.6159441222838	682.0598151420415	623.982819473414	665.3767614949529	598.2804527008428	635.5239592227128	574.4908949832937	548.9336813959563	454.3032115241004	496.2541617970567	515.602559315813	349.88335319991586	14.273490792052188
